id,Météo,Moment de la journée,État de la route,Espace devant sur voie principale,Vitesse sur voie principale,Distance sur voie principale,Type de véhicule sur voie principale,Besoin du passager,Rôle du véhicule autonome,Type de véhicule suivant,État du véhicule,Distance jusqu'au point de fusion,Vitesse du véhicule
54309,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,100 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,10 mètres,50 km/h
54587,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,100 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,50 mètres,30 km/h
54666,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,100 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,50 mètres,50 km/h
54768,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,100 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,10 mètres,80 km/h
54784,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,100 mètres,Camion,Pas de besoin particulier,Camion,Aucun,En approche,100 mètres,30 km/h
55138,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,150 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,80 km/h
55320,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,150 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,30 km/h
55453,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,150 mètres,Camion,Pressé (travail/vol),Voiture,Voiture,En approche,100 mètres,50 km/h
55471,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,150 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Aucun,À l'arrêt,0 mètre,0 km/h
55633,Ensoleillé,Jour,Mouillé,20 mètres,60 km/h,150 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Voiture,En approche,100 mètres,50 km/h
56009,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,100 mètres,Voiture,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
56256,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,100 mètres,Camion,Pressé (travail/vol),Voiture,Aucun,En approche,50 mètres,50 km/h
56549,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
56845,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,150 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,50 mètres,80 km/h
57678,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,200 mètres,Voiture,Pressé (travail/vol),Camion,Voiture,En approche,10 mètres,80 km/h
57801,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,200 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,À l'arrêt,0 mètre,0 km/h
57856,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,200 mètres,Camion,Urgent (transport médical),Camion,Voiture,En approche,50 mètres,50 km/h
57916,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,200 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,50 mètres,50 km/h
58180,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,200 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,10 mètres,30 km/h
58269,Ensoleillé,Jour,Mouillé,20 mètres,100 km/h,200 mètres,Véhicule prioritaire,Pas de besoin particulier,Véhicule prioritaire,Aucun,En approche,10 mètres,50 km/h
58770,Ensoleillé,Nuit,Sec,Libre,35 km/h,10 mètres,Camion,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,10 mètres,30 km/h
58801,Ensoleillé,Nuit,Sec,Libre,35 km/h,10 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Aucun,À l'arrêt,0 mètre,0 km/h
58895,Ensoleillé,Nuit,Sec,Libre,35 km/h,10 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,50 mètres,80 km/h
59018,Ensoleillé,Nuit,Sec,Libre,35 km/h,10 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Aucun,En approche,10 mètres,80 km/h
59425,Ensoleillé,Nuit,Sec,Libre,35 km/h,50 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,50 mètres,80 km/h
59707,Ensoleillé,Nuit,Sec,Libre,35 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,50 mètres,30 km/h
59934,Ensoleillé,Nuit,Sec,Libre,35 km/h,50 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,100 mètres,30 km/h
59953,Ensoleillé,Nuit,Sec,Libre,35 km/h,100 mètres,Voiture,Urgent (transport médical),Voiture,Voiture,En approche,100 mètres,50 km/h
59956,Ensoleillé,Nuit,Sec,Libre,35 km/h,100 mètres,Voiture,Urgent (transport médical),Voiture,Voiture,En approche,50 mètres,50 km/h
60122,Ensoleillé,Nuit,Sec,Libre,35 km/h,100 mètres,Voiture,Pas de besoin particulier,Voiture,Aucun,En approche,100 mètres,80 km/h
60167,Ensoleillé,Nuit,Sec,Libre,35 km/h,100 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,50 mètres,30 km/h
60251,Ensoleillé,Nuit,Sec,Libre,35 km/h,100 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Voiture,À l'arrêt,0 mètre,0 km/h
60265,Ensoleillé,Nuit,Sec,Libre,35 km/h,100 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,En approche,50 mètres,80 km/h
60374,Ensoleillé,Nuit,Sec,Libre,35 km/h,100 mètres,Camion,Pressé (travail/vol),Camion,Voiture,En approche,100 mètres,30 km/h
60408,Ensoleillé,Nuit,Sec,Libre,35 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Voiture,En approche,10 mètres,80 km/h
60793,Ensoleillé,Nuit,Sec,Libre,60 km/h,50 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,100 mètres,50 km/h
61462,Ensoleillé,Nuit,Sec,Libre,60 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,100 mètres,80 km/h
61829,Ensoleillé,Nuit,Sec,Libre,60 km/h,100 mètres,Voiture,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,10 mètres,50 km/h
61832,Ensoleillé,Nuit,Sec,Libre,60 km/h,100 mètres,Camion,Urgent (transport médical),Voiture,Aucun,En approche,100 mètres,80 km/h
61890,Ensoleillé,Nuit,Sec,Libre,60 km/h,100 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,30 km/h
61957,Ensoleillé,Nuit,Sec,Libre,60 km/h,100 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,50 mètres,30 km/h
62098,Ensoleillé,Nuit,Sec,Libre,60 km/h,100 mètres,Camion,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,10 mètres,80 km/h
62375,Ensoleillé,Nuit,Sec,Libre,60 km/h,150 mètres,Voiture,Urgent (transport médical),Voiture,Aucun,En approche,50 mètres,80 km/h
62490,Ensoleillé,Nuit,Sec,Libre,60 km/h,150 mètres,Voiture,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,10 mètres,30 km/h
62537,Ensoleillé,Nuit,Sec,Libre,60 km/h,150 mètres,Voiture,Pressé (travail/vol),Camion,Voiture,En approche,50 mètres,30 km/h
62580,Ensoleillé,Nuit,Sec,Libre,60 km/h,150 mètres,Voiture,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,10 mètres,30 km/h
62737,Ensoleillé,Nuit,Sec,Libre,60 km/h,150 mètres,Camion,Pressé (travail/vol),Voiture,Aucun,En approche,50 mètres,30 km/h
63007,Ensoleillé,Nuit,Sec,Libre,60 km/h,150 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Aucun,En approche,50 mètres,30 km/h
63125,Ensoleillé,Nuit,Sec,Libre,60 km/h,150 mètres,Véhicule prioritaire,Pas de besoin particulier,Véhicule prioritaire,Aucun,En approche,50 mètres,80 km/h
63365,Ensoleillé,Nuit,Sec,Libre,100 km/h,100 mètres,Voiture,Pas de besoin particulier,Voiture,Aucun,En approche,50 mètres,80 km/h
63502,Ensoleillé,Nuit,Sec,Libre,100 km/h,100 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,80 km/h
63660,Ensoleillé,Nuit,Sec,Libre,100 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,10 mètres,30 km/h
63715,Ensoleillé,Nuit,Sec,Libre,100 km/h,100 mètres,Camion,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,50 mètres,80 km/h
64002,Ensoleillé,Nuit,Sec,Libre,100 km/h,150 mètres,Voiture,Urgent (transport médical),Voiture,Voiture,En approche,100 mètres,80 km/h
64038,Ensoleillé,Nuit,Sec,Libre,100 km/h,150 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,10 mètres,80 km/h
64216,Ensoleillé,Nuit,Sec,Libre,100 km/h,150 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,50 mètres,50 km/h
64244,Ensoleillé,Nuit,Sec,Libre,100 km/h,150 mètres,Voiture,Pas de besoin particulier,Camion,Voiture,En approche,100 mètres,30 km/h
64286,Ensoleillé,Nuit,Sec,Libre,100 km/h,150 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,50 mètres,50 km/h
64295,Ensoleillé,Nuit,Sec,Libre,100 km/h,150 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,50 mètres,80 km/h
64336,Ensoleillé,Nuit,Sec,Libre,100 km/h,150 mètres,Camion,Urgent (transport médical),Camion,Voiture,En approche,50 mètres,50 km/h
64492,Ensoleillé,Nuit,Sec,Libre,100 km/h,150 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,80 km/h
64711,Ensoleillé,Nuit,Sec,Libre,100 km/h,150 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Aucun,À l'arrêt,0 mètre,0 km/h
65100,Ensoleillé,Nuit,Sec,Libre,100 km/h,200 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,10 mètres,30 km/h
65195,Ensoleillé,Nuit,Sec,Libre,100 km/h,200 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,50 mètres,80 km/h
65248,Ensoleillé,Nuit,Sec,Libre,100 km/h,200 mètres,Camion,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,10 mètres,80 km/h
65406,Ensoleillé,Nuit,Sec,Libre,100 km/h,200 mètres,Véhicule prioritaire,Urgent (transport médical),Camion,Aucun,En approche,50 mètres,50 km/h
65560,Ensoleillé,Nuit,Sec,Libre,100 km/h,200 mètres,Véhicule prioritaire,Pas de besoin particulier,Véhicule prioritaire,Aucun,En approche,10 mètres,30 km/h
65738,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,10 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,10 mètres,80 km/h
66354,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,10 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,100 mètres,30 km/h
66712,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,50 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,100 mètres,80 km/h
66717,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,50 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,50 mètres,30 km/h
66911,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,50 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Voiture,À l'arrêt,0 mètre,0 km/h
67381,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,100 mètres,Voiture,Pressé (travail/vol),Camion,Aucun,À l'arrêt,0 mètre,0 km/h
67503,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,100 mètres,Camion,Urgent (transport médical),Voiture,Aucun,En approche,100 mètres,50 km/h
67540,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,100 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,10 mètres,30 km/h
67676,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,100 mètres,Camion,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,50 mètres,50 km/h
67700,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Voiture,En approche,10 mètres,30 km/h
67702,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,100 mètres,80 km/h
67728,Ensoleillé,Nuit,Sec,100 mètres,35 km/h,100 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,10 mètres,80 km/h
68420,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,50 mètres,Camion,Pressé (travail/vol),Voiture,Voiture,En approche,10 mètres,30 km/h
68694,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,100 mètres,30 km/h
68828,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,50 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Aucun,En approche,10 mètres,80 km/h
69147,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,100 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,50 mètres,30 km/h
69630,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,30 km/h
69638,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Aucun,En approche,10 mètres,80 km/h
69869,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,150 mètres,Voiture,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
70027,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,150 mètres,Camion,Pressé (travail/vol),Voiture,Aucun,En approche,50 mètres,30 km/h
70037,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,150 mètres,Camion,Pressé (travail/vol),Voiture,Voiture,En approche,50 mètres,30 km/h
70133,Ensoleillé,Nuit,Sec,100 mètres,60 km/h,150 mètres,Camion,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,100 mètres,50 km/h
70523,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,50 km/h
70567,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Voiture,Pressé (travail/vol),Voiture,Aucun,En approche,50 mètres,30 km/h
70618,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,80 km/h
70653,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Voiture,Pas de besoin particulier,Voiture,Aucun,En approche,100 mètres,50 km/h
70732,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Voiture,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,100 mètres,80 km/h
70928,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Aucun,En approche,10 mètres,80 km/h
71054,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,100 mètres,30 km/h
71064,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,30 km/h
71208,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Voiture,En approche,10 mètres,80 km/h
71243,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,50 km/h
71293,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,150 mètres,Voiture,Urgent (transport médical),Voiture,Voiture,En approche,100 mètres,50 km/h
71295,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,150 mètres,Voiture,Urgent (transport médical),Voiture,Voiture,En approche,50 mètres,80 km/h
71410,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,150 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,10 mètres,30 km/h
71921,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,150 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Voiture,À l'arrêt,0 mètre,0 km/h
72091,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,200 mètres,Voiture,Urgent (transport médical),Voiture,Aucun,À l'arrêt,0 mètre,0 km/h
72140,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,200 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,10 mètres,30 km/h
72209,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,200 mètres,Voiture,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
72264,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,200 mètres,Voiture,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,100 mètres,30 km/h
72560,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,200 mètres,Camion,Pas de besoin particulier,Voiture,Voiture,En approche,10 mètres,30 km/h
72637,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,200 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Aucun,En approche,50 mètres,30 km/h
72639,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,200 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Aucun,En approche,10 mètres,50 km/h
72642,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,200 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Voiture,En approche,100 mètres,80 km/h
72835,Ensoleillé,Nuit,Sec,100 mètres,100 km/h,200 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,50 mètres,80 km/h
72957,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,10 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,En approche,50 mètres,30 km/h
73187,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,10 mètres,Camion,Urgent (transport médical),Voiture,Voiture,En approche,50 mètres,30 km/h
73647,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,10 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,50 mètres,30 km/h
73696,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,10 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Voiture,En approche,50 mètres,50 km/h
73997,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,50 mètres,Camion,Urgent (transport médical),Voiture,Voiture,En approche,50 mètres,30 km/h
74128,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,50 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,80 km/h
74172,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,50 mètres,Camion,Pas de besoin particulier,Voiture,Voiture,En approche,100 mètres,80 km/h
74382,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,100 mètres,80 km/h
74428,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,10 mètres,80 km/h
74670,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,100 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,30 km/h
74706,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,100 mètres,Voiture,Pas de besoin particulier,Voiture,Aucun,En approche,50 mètres,50 km/h
74916,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,100 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,50 mètres,50 km/h
75310,Ensoleillé,Nuit,Sec,50 mètres,35 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Aucun,En approche,10 mètres,30 km/h
75436,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,50 mètres,Voiture,Pressé (travail/vol),Voiture,Voiture,En approche,50 mètres,50 km/h
75736,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,50 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,50 mètres,50 km/h
75821,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,50 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Voiture,À l'arrêt,0 mètre,0 km/h
76167,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,100 mètres,Voiture,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,50 mètres,30 km/h
76227,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,100 mètres,Voiture,Urgent (transport médical),Camion,Véhicule prioritaire,En approche,50 mètres,30 km/h
76282,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,100 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,80 km/h
76303,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,100 mètres,Voiture,Pressé (travail/vol),Camion,Voiture,En approche,100 mètres,50 km/h
76445,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,100 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,50 mètres,80 km/h
76476,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,100 mètres,Camion,Urgent (transport médical),Camion,Aucun,En approche,50 mètres,50 km/h
76591,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Aucun,À l'arrêt,0 mètre,0 km/h
76957,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,150 mètres,Voiture,Urgent (transport médical),Voiture,Aucun,En approche,50 mètres,30 km/h
77121,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,150 mètres,Voiture,Pressé (travail/vol),Camion,Véhicule prioritaire,À l'arrêt,0 mètre,0 km/h
77345,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,150 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,50 mètres,80 km/h
77405,Ensoleillé,Nuit,Sec,50 mètres,60 km/h,150 mètres,Camion,Pas de besoin particulier,Voiture,Aucun,En approche,50 mètres,80 km/h
78027,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,100 mètres,Voiture,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,50 mètres,30 km/h
78059,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,100 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
78146,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,100 mètres,Camion,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,50 mètres,50 km/h
78304,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,100 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Aucun,En approche,100 mètres,30 km/h
78442,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,80 km/h
78705,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,150 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,50 mètres,80 km/h
78718,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,150 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,80 km/h
78792,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,150 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,100 mètres,80 km/h
78935,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,150 mètres,Camion,Pressé (travail/vol),Voiture,Aucun,En approche,50 mètres,80 km/h
78941,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,150 mètres,Camion,Pressé (travail/vol),Voiture,Voiture,À l'arrêt,0 mètre,0 km/h
79009,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,150 mètres,Camion,Pressé (travail/vol),Camion,Voiture,En approche,10 mètres,50 km/h
79167,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,150 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,En approche,50 mètres,30 km/h
79183,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,150 mètres,Véhicule prioritaire,Urgent (transport médical),Camion,Voiture,En approche,100 mètres,50 km/h
79538,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,200 mètres,Voiture,Pressé (travail/vol),Camion,Aucun,En approche,10 mètres,80 km/h
79552,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,200 mètres,Voiture,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,100 mètres,80 km/h
79592,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,200 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Aucun,En approche,100 mètres,80 km/h
79849,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,200 mètres,Camion,Pas de besoin particulier,Voiture,Voiture,En approche,10 mètres,50 km/h
80187,Ensoleillé,Nuit,Sec,50 mètres,100 km/h,200 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,50 mètres,30 km/h
80387,Ensoleillé,Nuit,Sec,20 mètres,35 km/h,10 mètres,Voiture,Pas de besoin particulier,Voiture,Voiture,En approche,50 mètres,30 km/h
80493,Ensoleillé,Nuit,Sec,20 mètres,35 km/h,10 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,100 mètres,50 km/h
80594,Ensoleillé,Nuit,Sec,20 mètres,35 km/h,10 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,100 mètres,30 km/h
80638,Ensoleillé,Nuit,Sec,20 mètres,35 km/h,10 mètres,Camion,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,10 mètres,80 km/h
80974,Ensoleillé,Nuit,Sec,20 mètres,35 km/h,10 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Aucun,En approche,100 mètres,30 km/h
81259,Ensoleillé,Nuit,Sec,20 mètres,35 km/h,50 mètres,Voiture,Pas de besoin particulier,Camion,Voiture,En approche,10 mètres,50 km/h
