id,天气,时间,路况,主车道前方空隙,主车道车速,主车道车距,主车道车辆类型,乘客需求,本车角色,后车类型,本车状态,本车距合流点距离,本车速度
65560,晴天,夜晚,干燥,畅通,100公里/小时,200米,应急车辆,无特别需求,应急车辆,无,接近中,10米,30公里/小时
65738,晴天,夜晚,干燥,100米,35公里/小时,10米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,10米,80公里/小时
66354,晴天,夜晚,干燥,100米,35公里/小时,10米,应急车辆,无特别需求,普通轿车,应急车辆,接近中,100米,30公里/小时
66712,晴天,夜晚,干燥,100米,35公里/小时,50米,卡车,紧急（送医）,普通轿车,应急车辆,接近中,100米,80公里/小时
66717,晴天,夜晚,干燥,100米,35公里/小时,50米,卡车,紧急（送医）,普通轿车,应急车辆,接近中,50米,30公里/小时
66911,晴天,夜晚,干燥,100米,35公里/小时,50米,卡车,无特别需求,应急车辆,普通轿车,静止,0米,0公里/小时
67381,晴天,夜晚,干燥,100米,35公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,卡车,无,静止,0米,0公里/小时
67503,晴天,夜晚,干燥,100米,35公里/小时,100米,卡车,紧急（送医）,普通轿车,无,接近中,100米,50公里/小时
67540,晴天,夜晚,干燥,100米,35公里/小时,100米,卡车,紧急（送医）,应急车辆,无,接近中,10米,30公里/小时
67676,晴天,夜晚,干燥,100米,35公里/小时,100米,卡车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,50米,50公里/小时
67700,晴天,夜晚,干燥,100米,35公里/小时,100米,卡车,无特别需求,普通轿车,普通轿车,接近中,10米,30公里/小时
67702,晴天,夜晚,干燥,100米,35公里/小时,100米,卡车,无特别需求,普通轿车,应急车辆,接近中,100米,80公里/小时
67728,晴天,夜晚,干燥,100米,35公里/小时,100米,卡车,无特别需求,应急车辆,普通轿车,接近中,10米,80公里/小时
68420,晴天,夜晚,干燥,100米,60公里/小时,50米,卡车,赶时间（通勤/赶飞机）,普通轿车,普通轿车,接近中,10米,30公里/小时
68694,晴天,夜晚,干燥,100米,60公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,100米,30公里/小时
68828,晴天,夜晚,干燥,100米,60公里/小时,50米,应急车辆,无特别需求,卡车,无,接近中,10米,80公里/小时
69147,晴天,夜晚,干燥,100米,60公里/小时,100米,卡车,紧急（送医）,普通轿车,应急车辆,接近中,50米,30公里/小时
69630,晴天,夜晚,干燥,100米,60公里/小时,100米,应急车辆,无特别需求,应急车辆,应急车辆,接近中,10米,30公里/小时
69638,晴天,夜晚,干燥,100米,60公里/小时,100米,应急车辆,无特别需求,卡车,无,接近中,10米,80公里/小时
69869,晴天,夜晚,干燥,100米,60公里/小时,150米,普通轿车,无特别需求,普通轿车,应急车辆,接近中,10米,50公里/小时
70027,晴天,夜晚,干燥,100米,60公里/小时,150米,卡车,赶时间（通勤/赶飞机）,普通轿车,无,接近中,50米,30公里/小时
70037,晴天,夜晚,干燥,100米,60公里/小时,150米,卡车,赶时间（通勤/赶飞机）,普通轿车,普通轿车,接近中,50米,30公里/小时
70133,晴天,夜晚,干燥,100米,60公里/小时,150米,卡车,无特别需求,普通轿车,应急车辆,接近中,100米,50公里/小时
70523,晴天,夜晚,干燥,100米,100公里/小时,100米,普通轿车,紧急（送医）,应急车辆,应急车辆,接近中,100米,50公里/小时
70567,晴天,夜晚,干燥,100米,100公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,无,接近中,50米,30公里/小时
70618,晴天,夜晚,干燥,100米,100公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,10米,80公里/小时
70653,晴天,夜晚,干燥,100米,100公里/小时,100米,普通轿车,无特别需求,普通轿车,无,接近中,100米,50公里/小时
70732,晴天,夜晚,干燥,100米,100公里/小时,100米,普通轿车,无特别需求,卡车,应急车辆,接近中,100米,80公里/小时
70928,晴天,夜晚,干燥,100米,100公里/小时,100米,卡车,无特别需求,普通轿车,无,接近中,10米,80公里/小时
71054,晴天,夜晚,干燥,100米,100公里/小时,100米,应急车辆,紧急（送医）,应急车辆,普通轿车,接近中,100米,30公里/小时
71064,晴天,夜晚,干燥,100米,100公里/小时,100米,应急车辆,紧急（送医）,应急车辆,应急车辆,接近中,100米,30公里/小时
71208,晴天,夜晚,干燥,100米,100公里/小时,100米,应急车辆,无特别需求,普通轿车,普通轿车,接近中,10米,80公里/小时
71243,晴天,夜晚,干燥,100米,100公里/小时,100米,应急车辆,无特别需求,应急车辆,应急车辆,接近中,100米,50公里/小时
71293,晴天,夜晚,干燥,100米,100公里/小时,150米,普通轿车,紧急（送医）,普通轿车,普通轿车,接近中,100米,50公里/小时
71295,晴天,夜晚,干燥,100米,100公里/小时,150米,普通轿车,紧急（送医）,普通轿车,普通轿车,接近中,50米,80公里/小时
71410,晴天,夜晚,干燥,100米,100公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,10米,30公里/小时
71921,晴天,夜晚,干燥,100米,100公里/小时,150米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,普通轿车,静止,0米,0公里/小时
72091,晴天,夜晚,干燥,100米,100公里/小时,200米,普通轿车,紧急（送医）,普通轿车,无,静止,0米,0公里/小时
72140,晴天,夜晚,干燥,100米,100公里/小时,200米,普通轿车,紧急（送医）,应急车辆,普通轿车,接近中,10米,30公里/小时
72209,晴天,夜晚,干燥,100米,100公里/小时,200米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,10米,50公里/小时
72264,晴天,夜晚,干燥,100米,100公里/小时,200米,普通轿车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,100米,30公里/小时
72560,晴天,夜晚,干燥,100米,100公里/小时,200米,卡车,无特别需求,普通轿车,普通轿车,接近中,10米,30公里/小时
72637,晴天,夜晚,干燥,100米,100公里/小时,200米,应急车辆,紧急（送医）,普通轿车,无,接近中,50米,30公里/小时
72639,晴天,夜晚,干燥,100米,100公里/小时,200米,应急车辆,紧急（送医）,普通轿车,无,接近中,10米,50公里/小时
72642,晴天,夜晚,干燥,100米,100公里/小时,200米,应急车辆,紧急（送医）,普通轿车,普通轿车,接近中,100米,80公里/小时
72835,晴天,夜晚,干燥,100米,100公里/小时,200米,应急车辆,无特别需求,普通轿车,应急车辆,接近中,50米,80公里/小时
72957,晴天,夜晚,干燥,50米,35公里/小时,10米,普通轿车,紧急（送医）,应急车辆,应急车辆,接近中,50米,30公里/小时
73187,晴天,夜晚,干燥,50米,35公里/小时,10米,卡车,紧急（送医）,普通轿车,普通轿车,接近中,50米,30公里/小时
73647,晴天,夜晚,干燥,50米,35公里/小时,10米,应急车辆,无特别需求,普通轿车,应急车辆,接近中,50米,30公里/小时
73696,晴天,夜晚,干燥,50米,35公里/小时,10米,应急车辆,无特别需求,卡车,普通轿车,接近中,50米,50公里/小时
73997,晴天,夜晚,干燥,50米,35公里/小时,50米,卡车,紧急（送医）,普通轿车,普通轿车,接近中,50米,30公里/小时
74128,晴天,夜晚,干燥,50米,35公里/小时,50米,卡车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,10米,80公里/小时
74172,晴天,夜晚,干燥,50米,35公里/小时,50米,卡车,无特别需求,普通轿车,普通轿车,接近中,100米,80公里/小时
74382,晴天,夜晚,干燥,50米,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,100米,80公里/小时
74428,晴天,夜晚,干燥,50米,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,10米,80公里/小时
74670,晴天,夜晚,干燥,50米,35公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,10米,30公里/小时
74706,晴天,夜晚,干燥,50米,35公里/小时,100米,普通轿车,无特别需求,普通轿车,无,接近中,50米,50公里/小时
74916,晴天,夜晚,干燥,50米,35公里/小时,100米,卡车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,50米,50公里/小时
75310,晴天,夜晚,干燥,50米,35公里/小时,100米,应急车辆,无特别需求,卡车,无,接近中,10米,30公里/小时
75436,晴天,夜晚,干燥,50米,60公里/小时,50米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,普通轿车,接近中,50米,50公里/小时
75736,晴天,夜晚,干燥,50米,60公里/小时,50米,卡车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,50米,50公里/小时
75821,晴天,夜晚,干燥,50米,60公里/小时,50米,卡车,无特别需求,应急车辆,普通轿车,静止,0米,0公里/小时
76167,晴天,夜晚,干燥,50米,60公里/小时,100米,普通轿车,紧急（送医）,普通轿车,应急车辆,接近中,50米,30公里/小时
76227,晴天,夜晚,干燥,50米,60公里/小时,100米,普通轿车,紧急（送医）,卡车,应急车辆,接近中,50米,30公里/小时
76282,晴天,夜晚,干燥,50米,60公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,100米,80公里/小时
76303,晴天,夜晚,干燥,50米,60公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,100米,50公里/小时
76445,晴天,夜晚,干燥,50米,60公里/小时,100米,卡车,紧急（送医）,应急车辆,无,接近中,50米,80公里/小时
76476,晴天,夜晚,干燥,50米,60公里/小时,100米,卡车,紧急（送医）,卡车,无,接近中,50米,50公里/小时
76591,晴天,夜晚,干燥,50米,60公里/小时,100米,卡车,无特别需求,普通轿车,无,静止,0米,0公里/小时
76957,晴天,夜晚,干燥,50米,60公里/小时,150米,普通轿车,紧急（送医）,普通轿车,无,接近中,50米,30公里/小时
77121,晴天,夜晚,干燥,50米,60公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,卡车,应急车辆,静止,0米,0公里/小时
77345,晴天,夜晚,干燥,50米,60公里/小时,150米,卡车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,50米,80公里/小时
77405,晴天,夜晚,干燥,50米,60公里/小时,150米,卡车,无特别需求,普通轿车,无,接近中,50米,80公里/小时
78027,晴天,夜晚,干燥,50米,100公里/小时,100米,普通轿车,无特别需求,卡车,应急车辆,接近中,50米,30公里/小时
78059,晴天,夜晚,干燥,50米,100公里/小时,100米,卡车,紧急（送医）,普通轿车,应急车辆,接近中,10米,50公里/小时
78146,晴天,夜晚,干燥,50米,100公里/小时,100米,卡车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,50米,50公里/小时
78304,晴天,夜晚,干燥,50米,100公里/小时,100米,应急车辆,紧急（送医）,普通轿车,无,接近中,100米,30公里/小时
78442,晴天,夜晚,干燥,50米,100公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,100米,80公里/小时
78705,晴天,夜晚,干燥,50米,100公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,50米,80公里/小时
78718,晴天,夜晚,干燥,50米,100公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,10米,80公里/小时
78792,晴天,夜晚,干燥,50米,100公里/小时,150米,普通轿车,无特别需求,应急车辆,普通轿车,接近中,100米,80公里/小时
78935,晴天,夜晚,干燥,50米,100公里/小时,150米,卡车,赶时间（通勤/赶飞机）,普通轿车,无,接近中,50米,80公里/小时
78941,晴天,夜晚,干燥,50米,100公里/小时,150米,卡车,赶时间（通勤/赶飞机）,普通轿车,普通轿车,静止,0米,0公里/小时
79009,晴天,夜晚,干燥,50米,100公里/小时,150米,卡车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,10米,50公里/小时
79167,晴天,夜晚,干燥,50米,100公里/小时,150米,应急车辆,紧急（送医）,应急车辆,应急车辆,接近中,50米,30公里/小时
79183,晴天,夜晚,干燥,50米,100公里/小时,150米,应急车辆,紧急（送医）,卡车,普通轿车,接近中,100米,50公里/小时
79538,晴天,夜晚,干燥,50米,100公里/小时,200米,普通轿车,赶时间（通勤/赶飞机）,卡车,无,接近中,10米,80公里/小时
79552,晴天,夜晚,干燥,50米,100公里/小时,200米,普通轿车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,100米,80公里/小时
79592,晴天,夜晚,干燥,50米,100公里/小时,200米,普通轿车,无特别需求,应急车辆,无,接近中,100米,80公里/小时
79849,晴天,夜晚,干燥,50米,100公里/小时,200米,卡车,无特别需求,普通轿车,普通轿车,接近中,10米,50公里/小时
80187,晴天,夜晚,干燥,50米,100公里/小时,200米,应急车辆,无特别需求,卡车,应急车辆,接近中,50米,30公里/小时
80387,晴天,夜晚,干燥,20米,35公里/小时,10米,普通轿车,无特别需求,普通轿车,普通轿车,接近中,50米,30公里/小时
80493,晴天,夜晚,干燥,20米,35公里/小时,10米,卡车,紧急（送医）,应急车辆,无,接近中,100米,50公里/小时
80594,晴天,夜晚,干燥,20米,35公里/小时,10米,卡车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,100米,30公里/小时
80638,晴天,夜晚,干燥,20米,35公里/小时,10米,卡车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,10米,80公里/小时
80974,晴天,夜晚,干燥,20米,35公里/小时,10米,应急车辆,无特别需求,卡车,无,接近中,100米,30公里/小时
81259,晴天,夜晚,干燥,20米,35公里/小时,50米,普通轿车,无特别需求,卡车,普通轿车,接近中,10米,50公里/小时
81334,晴天,夜晚,干燥,20米,35公里/小时,50米,卡车,紧急（送医）,卡车,无,接近中,100米,30公里/小时
81361,晴天,夜晚,干燥,20米,35公里/小时,50米,卡车,赶时间（通勤/赶飞机）,普通轿车,无,静止,0米,0公里/小时
81513,晴天,夜晚,干燥,20米,35公里/小时,50米,卡车,无特别需求,卡车,无,接近中,100米,50公里/小时
81529,晴天,夜晚,干燥,20米,35公里/小时,50米,卡车,无特别需求,卡车,普通轿车,接近中,10米,50公里/小时
81608,晴天,夜晚,干燥,20米,35公里/小时,50米,应急车辆,紧急（送医）,卡车,无,接近中,10米,80公里/小时
81678,晴天,夜晚,干燥,20米,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,10米,80公里/小时
81751,晴天,夜晚,干燥,20米,35公里/小时,50米,应急车辆,无特别需求,应急车辆,无,静止,0米,0公里/小时
81962,晴天,夜晚,干燥,20米,35公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,卡车,无,接近中,100米,80公里/小时
82113,晴天,夜晚,干燥,20米,35公里/小时,100米,卡车,紧急（送医）,应急车辆,无,接近中,100米,50公里/小时
82492,晴天,夜晚,干燥,20米,35公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,100米,80公里/小时
82523,晴天,夜晚,干燥,20米,35公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,100米,50公里/小时
82620,晴天,夜晚,干燥,20米,35公里/小时,100米,应急车辆,无特别需求,卡车,应急车辆,接近中,10米,30公里/小时
82694,晴天,夜晚,干燥,20米,60公里/小时,50米,普通轿车,紧急（送医）,卡车,普通轿车,接近中,100米,30公里/小时
83398,晴天,夜晚,干燥,20米,60公里/小时,50米,应急车辆,无特别需求,应急车辆,应急车辆,接近中,10米,80公里/小时
83859,晴天,夜晚,干燥,20米,60公里/小时,100米,卡车,赶时间（通勤/赶飞机）,卡车,无,接近中,10米,50公里/小时
83925,晴天,夜晚,干燥,20米,60公里/小时,100米,卡车,无特别需求,应急车辆,普通轿车,接近中,50米,80公里/小时
83948,晴天,夜晚,干燥,20米,60公里/小时,100米,卡车,无特别需求,卡车,无,接近中,10米,80公里/小时
84072,晴天,夜晚,干燥,20米,60公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,普通轿车,接近中,100米,80公里/小时
84266,晴天,夜晚,干燥,20米,60公里/小时,150米,普通轿车,紧急（送医）,普通轿车,应急车辆,接近中,50米,50公里/小时
84405,晴天,夜晚,干燥,20米,60公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,50米,80公里/小时
84418,晴天,夜晚,干燥,20米,60公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,10米,80公里/小时
84435,晴天,夜晚,干燥,20米,60公里/小时,150米,普通轿车,无特别需求,普通轿车,普通轿车,接近中,50米,80公里/小时
84465,晴天,夜晚,干燥,20米,60公里/小时,150米,普通轿车,无特别需求,应急车辆,普通轿车,接近中,50米,80公里/小时
84734,晴天,夜晚,干燥,20米,60公里/小时,150米,卡车,无特别需求,应急车辆,普通轿车,接近中,100米,30公里/小时
84840,晴天,夜晚,干燥,20米,60公里/小时,150米,应急车辆,紧急（送医）,应急车辆,应急车辆,接近中,10米,30公里/小时
84967,晴天,夜晚,干燥,20米,60公里/小时,150米,应急车辆,无特别需求,普通轿车,无,接近中,50米,30公里/小时
85040,晴天,夜晚,干燥,20米,60公里/小时,150米,应急车辆,无特别需求,卡车,普通轿车,接近中,10米,30公里/小时
85576,晴天,夜晚,干燥,20米,100公里/小时,100米,卡车,无特别需求,卡车,普通轿车,接近中,50米,50公里/小时
85672,晴天,夜晚,干燥,20米,100公里/小时,100米,应急车辆,紧急（送医）,卡车,应急车辆,接近中,100米,80公里/小时
85847,晴天,夜晚,干燥,20米,100公里/小时,100米,应急车辆,无特别需求,卡车,普通轿车,接近中,50米,30公里/小时
85934,晴天,夜晚,干燥,20米,100公里/小时,150米,普通轿车,紧急（送医）,卡车,普通轿车,接近中,100米,30公里/小时
85951,晴天,夜晚,干燥,20米,100公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,无,静止,0米,0公里/小时
86126,晴天,夜晚,干燥,20米,100公里/小时,150米,普通轿车,无特别需求,卡车,应急车辆,接近中,50米,50公里/小时
86214,晴天,夜晚,干燥,20米,100公里/小时,150米,卡车,紧急（送医）,卡车,应急车辆,接近中,100米,30公里/小时
86358,晴天,夜晚,干燥,20米,100公里/小时,150米,卡车,无特别需求,应急车辆,普通轿车,接近中,10米,80公里/小时
86431,晴天,夜晚,干燥,20米,100公里/小时,150米,应急车辆,紧急（送医）,应急车辆,无,静止,0米,0公里/小时
86531,晴天,夜晚,干燥,20米,100公里/小时,150米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,普通轿车,静止,0米,0公里/小时
86580,晴天,夜晚,干燥,20米,100公里/小时,150米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,10米,30公里/小时
86637,晴天,夜晚,干燥,20米,100公里/小时,150米,应急车辆,无特别需求,应急车辆,应急车辆,接近中,50米,30公里/小时
86807,晴天,夜晚,干燥,20米,100公里/小时,200米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,50米,30公里/小时
86838,晴天,夜晚,干燥,20米,100公里/小时,200米,普通轿车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,10米,80公里/小时
86933,晴天,夜晚,干燥,20米,100公里/小时,200米,普通轿车,无特别需求,卡车,应急车辆,接近中,100米,50公里/小时
86944,晴天,夜晚,干燥,20米,100公里/小时,200米,卡车,紧急（送医）,普通轿车,无,接近中,100米,30公里/小时
87138,晴天,夜晚,干燥,20米,100公里/小时,200米,卡车,无特别需求,普通轿车,普通轿车,接近中,10米,80公里/小时
87152,晴天,夜晚,干燥,20米,100公里/小时,200米,卡车,无特别需求,应急车辆,无,接近中,100米,80公里/小时
87193,晴天,夜晚,干燥,20米,100公里/小时,200米,卡车,无特别需求,卡车,普通轿车,接近中,100米,50公里/小时
87315,晴天,夜晚,干燥,20米,100公里/小时,200米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,普通轿车,接近中,50米,80公里/小时
87319,晴天,夜晚,干燥,20米,100公里/小时,200米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,普通轿车,接近中,10米,50公里/小时
87339,晴天,夜晚,干燥,20米,100公里/小时,200米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,无,接近中,10米,50公里/小时
87448,晴天,夜晚,干燥,20米,100公里/小时,200米,应急车辆,无特别需求,应急车辆,应急车辆,接近中,10米,80公里/小时
87583,晴天,夜晚,湿滑,畅通,35公里/小时,10米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,普通轿车,接近中,100米,50公里/小时
87691,晴天,夜晚,湿滑,畅通,35公里/小时,10米,普通轿车,无特别需求,应急车辆,无,静止,0米,0公里/小时
87809,晴天,夜晚,湿滑,畅通,35公里/小时,10米,卡车,紧急（送医）,应急车辆,应急车辆,接近中,10米,50公里/小时
87811,晴天,夜晚,湿滑,畅通,35公里/小时,10米,卡车,紧急（送医）,卡车,无,静止,0米,0公里/小时
87816,晴天,夜晚,湿滑,畅通,35公里/小时,10米,卡车,紧急（送医）,卡车,无,接近中,50米,50公里/小时
87901,晴天,夜晚,湿滑,畅通,35公里/小时,10米,卡车,赶时间（通勤/赶飞机）,卡车,无,静止,0米,0公里/小时
88046,晴天,夜晚,湿滑,畅通,35公里/小时,10米,应急车辆,紧急（送医）,普通轿车,应急车辆,接近中,50米,50公里/小时
88134,晴天,夜晚,湿滑,畅通,35公里/小时,10米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,100米,30公里/小时
88681,晴天,夜晚,湿滑,畅通,35公里/小时,50米,卡车,赶时间（通勤/赶飞机）,应急车辆,无,静止,0米,0公里/小时
88867,晴天,夜晚,湿滑,畅通,35公里/小时,50米,应急车辆,紧急（送医）,应急车辆,无,接近中,50米,30公里/小时
89137,晴天,夜晚,湿滑,畅通,35公里/小时,100米,普通轿车,紧急（送医）,应急车辆,无,接近中,50米,30公里/小时
89414,晴天,夜晚,湿滑,畅通,35公里/小时,100米,卡车,紧急（送医）,应急车辆,普通轿车,接近中,100米,30公里/小时
89435,晴天,夜晚,湿滑,畅通,35公里/小时,100米,卡车,紧急（送医）,卡车,无,接近中,50米,80公里/小时
89495,晴天,夜晚,湿滑,畅通,35公里/小时,100米,卡车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,50米,80公里/小时
89514,晴天,夜晚,湿滑,畅通,35公里/小时,100米,卡车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,100米,30公里/小时
89519,晴天,夜晚,湿滑,畅通,35公里/小时,100米,卡车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,10米,50公里/小时
89703,晴天,夜晚,湿滑,畅通,35公里/小时,100米,应急车辆,紧急（送医）,卡车,无,接近中,100米,50公里/小时
89871,晴天,夜晚,湿滑,畅通,35公里/小时,100米,应急车辆,无特别需求,应急车辆,应急车辆,静止,0米,0公里/小时
90067,晴天,夜晚,湿滑,畅通,60公里/小时,50米,普通轿车,赶时间（通勤/赶飞机）,卡车,无,接近中,50米,30公里/小时
90202,晴天,夜晚,湿滑,畅通,60公里/小时,50米,卡车,紧急（送医）,普通轿车,应急车辆,接近中,100米,80公里/小时
90331,晴天,夜晚,湿滑,畅通,60公里/小时,50米,卡车,赶时间（通勤/赶飞机）,卡车,无,静止,0米,0公里/小时
90834,晴天,夜晚,湿滑,畅通,60公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,100米,30公里/小时
90992,晴天,夜晚,湿滑,畅通,60公里/小时,100米,卡车,紧急（送医）,普通轿车,无,接近中,100米,80公里/小时
91198,晴天,夜晚,湿滑,畅通,60公里/小时,100米,卡车,无特别需求,普通轿车,应急车辆,接近中,10米,80公里/小时
91286,晴天,夜晚,湿滑,畅通,60公里/小时,100米,应急车辆,紧急（送医）,普通轿车,应急车辆,接近中,50米,50公里/小时
91327,晴天,夜晚,湿滑,畅通,60公里/小时,100米,应急车辆,紧急（送医）,卡车,无,接近中,50米,30公里/小时
91421,晴天,夜晚,湿滑,畅通,60公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,卡车,普通轿车,静止,0米,0公里/小时
91424,晴天,夜晚,湿滑,畅通,60公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,100米,30公里/小时
91970,晴天,夜晚,湿滑,畅通,60公里/小时,150米,卡车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,10米,30公里/小时
92243,晴天,夜晚,湿滑,畅通,60公里/小时,150米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,100米,50公里/小时
92344,晴天,夜晚,湿滑,畅通,100公里/小时,100米,普通轿车,紧急（送医）,普通轿车,无,接近中,100米,30公里/小时
92360,晴天,夜晚,湿滑,畅通,100公里/小时,100米,普通轿车,紧急（送医）,普通轿车,普通轿车,接近中,10米,30公里/小时
92469,晴天,夜晚,湿滑,畅通,100公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,10米,50公里/小时
92739,晴天,夜晚,湿滑,畅通,100公里/小时,100米,卡车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,10米,50公里/小时
92828,晴天,夜晚,湿滑,畅通,100公里/小时,100米,卡车,无特别需求,应急车辆,无,接近中,10米,80公里/小时
92830,晴天,夜晚,湿滑,畅通,100公里/小时,100米,卡车,无特别需求,应急车辆,无,接近中,10米,30公里/小时
93295,晴天,夜晚,湿滑,畅通,100公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,50米,80公里/小时
93550,晴天,夜晚,湿滑,畅通,100公里/小时,150米,卡车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,10米,30公里/小时
93560,晴天,夜晚,湿滑,畅通,100公里/小时,150米,卡车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,10米,30公里/小时
93581,晴天,夜晚,湿滑,畅通,100公里/小时,150米,卡车,赶时间（通勤/赶飞机）,卡车,普通轿车,静止,0米,0公里/小时
93602,晴天,夜晚,湿滑,畅通,100公里/小时,150米,卡车,无特别需求,普通轿车,无,接近中,100米,80公里/小时
93623,晴天,夜晚,湿滑,畅通,100公里/小时,150米,卡车,无特别需求,普通轿车,应急车辆,接近中,100米,50公里/小时
93856,晴天,夜晚,湿滑,畅通,100公里/小时,150米,应急车辆,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,50米,50公里/小时
93872,晴天,夜晚,湿滑,畅通,100公里/小时,150米,应急车辆,无特别需求,普通轿车,无,接近中,100米,80公里/小时
93956,晴天,夜晚,湿滑,畅通,100公里/小时,150米,应急车辆,无特别需求,卡车,应急车辆,接近中,50米,50公里/小时
94126,晴天,夜晚,湿滑,畅通,100公里/小时,200米,普通轿车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,50米,50公里/小时
94182,晴天,夜晚,湿滑,畅通,100公里/小时,200米,普通轿车,无特别需求,应急车辆,普通轿车,接近中,100米,80公里/小时
94572,晴天,夜晚,湿滑,畅通,100公里/小时,200米,应急车辆,紧急（送医）,卡车,普通轿车,接近中,100米,80公里/小时
94661,晴天,夜晚,湿滑,畅通,100公里/小时,200米,应急车辆,赶时间（通勤/赶飞机）,卡车,普通轿车,静止,0米,0公里/小时
94991,晴天,夜晚,湿滑,100米,35公里/小时,10米,普通轿车,无特别需求,应急车辆,普通轿车,静止,0米,0公里/小时
95284,晴天,夜晚,湿滑,100米,35公里/小时,10米,卡车,无特别需求,卡车,无,接近中,100米,30公里/小时
95411,晴天,夜晚,湿滑,100米,35公里/小时,10米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,普通轿车,静止,0米,0公里/小时
95485,晴天,夜晚,湿滑,100米,35公里/小时,10米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,50米,80公里/小时
95584,晴天,夜晚,湿滑,100米,35公里/小时,50米,普通轿车,紧急（送医）,普通轿车,无,接近中,100米,30公里/小时
