id,weather,time,road_condition,pedestrian_type,pedestrian_behavior,pedestiran_action,ego_role,occupant_requirement,distance to pedestrian,ego_vehicle_speed
5465,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),50m,50km/h
5466,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),100m,50km/h
5467,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),10m,25km/h
5468,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),50m,25km/h
5469,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),100m,25km/h
5470,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),10m,50km/h
5471,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),50m,50km/h
5472,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),100m,50km/h
5473,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),10m,25km/h
5474,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),50m,25km/h
5475,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),100m,25km/h
5476,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),10m,50km/h
5477,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),50m,50km/h
5478,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),100m,50km/h
5479,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),10m,25km/h
5480,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),50m,25km/h
5481,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),100m,25km/h
5482,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),10m,50km/h
5483,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),50m,50km/h
5484,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),100m,50km/h
5485,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),10m,25km/h
5486,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),50m,25km/h
5487,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),100m,25km/h
5488,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),10m,50km/h
5489,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),50m,50km/h
5490,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),100m,50km/h
5491,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,none,10m,25km/h
5492,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,none,50m,25km/h
5493,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,none,100m,25km/h
5494,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,none,10m,50km/h
5495,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,none,50m,50km/h
5496,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,normal car,none,100m,50km/h
5497,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,10m,25km/h
5498,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,50m,25km/h
5499,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,100m,25km/h
5500,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,10m,50km/h
5501,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,50m,50km/h
5502,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,100m,50km/h
5503,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,none,10m,25km/h
5504,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,none,50m,25km/h
5505,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,none,100m,25km/h
5506,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,none,10m,50km/h
5507,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,none,50m,50km/h
5508,sunny,night,dry,elderly,watching phone,moving orientation not towards crosswalk,truck,none,100m,50km/h
5509,sunny,night,dry,elderly,talking to someone,stop,normal car,urgent (to hospital),10m,25km/h
5510,sunny,night,dry,elderly,talking to someone,stop,normal car,urgent (to hospital),50m,25km/h
5511,sunny,night,dry,elderly,talking to someone,stop,normal car,urgent (to hospital),100m,25km/h
5512,sunny,night,dry,elderly,talking to someone,stop,normal car,urgent (to hospital),10m,50km/h
5513,sunny,night,dry,elderly,talking to someone,stop,normal car,urgent (to hospital),50m,50km/h
5514,sunny,night,dry,elderly,talking to someone,stop,normal car,urgent (to hospital),100m,50km/h
5515,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,urgent (to hospital),10m,25km/h
5516,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,urgent (to hospital),50m,25km/h
5517,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,urgent (to hospital),100m,25km/h
5518,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,urgent (to hospital),10m,50km/h
5519,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,urgent (to hospital),50m,50km/h
5520,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,urgent (to hospital),100m,50km/h
5521,sunny,night,dry,elderly,talking to someone,stop,truck,urgent (to hospital),10m,25km/h
5522,sunny,night,dry,elderly,talking to someone,stop,truck,urgent (to hospital),50m,25km/h
5523,sunny,night,dry,elderly,talking to someone,stop,truck,urgent (to hospital),100m,25km/h
5524,sunny,night,dry,elderly,talking to someone,stop,truck,urgent (to hospital),10m,50km/h
5525,sunny,night,dry,elderly,talking to someone,stop,truck,urgent (to hospital),50m,50km/h
5526,sunny,night,dry,elderly,talking to someone,stop,truck,urgent (to hospital),100m,50km/h
5527,sunny,night,dry,elderly,talking to someone,stop,normal car,hurry (commute or flight),10m,25km/h
5528,sunny,night,dry,elderly,talking to someone,stop,normal car,hurry (commute or flight),50m,25km/h
5529,sunny,night,dry,elderly,talking to someone,stop,normal car,hurry (commute or flight),100m,25km/h
5530,sunny,night,dry,elderly,talking to someone,stop,normal car,hurry (commute or flight),10m,50km/h
5531,sunny,night,dry,elderly,talking to someone,stop,normal car,hurry (commute or flight),50m,50km/h
5532,sunny,night,dry,elderly,talking to someone,stop,normal car,hurry (commute or flight),100m,50km/h
5533,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,hurry (commute or flight),10m,25km/h
5534,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,hurry (commute or flight),50m,25km/h
5535,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,hurry (commute or flight),100m,25km/h
5536,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,hurry (commute or flight),10m,50km/h
5537,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,hurry (commute or flight),50m,50km/h
5538,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,hurry (commute or flight),100m,50km/h
5539,sunny,night,dry,elderly,talking to someone,stop,truck,hurry (commute or flight),10m,25km/h
5540,sunny,night,dry,elderly,talking to someone,stop,truck,hurry (commute or flight),50m,25km/h
5541,sunny,night,dry,elderly,talking to someone,stop,truck,hurry (commute or flight),100m,25km/h
5542,sunny,night,dry,elderly,talking to someone,stop,truck,hurry (commute or flight),10m,50km/h
5543,sunny,night,dry,elderly,talking to someone,stop,truck,hurry (commute or flight),50m,50km/h
5544,sunny,night,dry,elderly,talking to someone,stop,truck,hurry (commute or flight),100m,50km/h
5545,sunny,night,dry,elderly,talking to someone,stop,normal car,none,10m,25km/h
5546,sunny,night,dry,elderly,talking to someone,stop,normal car,none,50m,25km/h
5547,sunny,night,dry,elderly,talking to someone,stop,normal car,none,100m,25km/h
5548,sunny,night,dry,elderly,talking to someone,stop,normal car,none,10m,50km/h
5549,sunny,night,dry,elderly,talking to someone,stop,normal car,none,50m,50km/h
5550,sunny,night,dry,elderly,talking to someone,stop,normal car,none,100m,50km/h
5551,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,none,10m,25km/h
5552,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,none,50m,25km/h
5553,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,none,100m,25km/h
5554,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,none,10m,50km/h
5555,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,none,50m,50km/h
5556,sunny,night,dry,elderly,talking to someone,stop,emergency vehicle,none,100m,50km/h
5557,sunny,night,dry,elderly,talking to someone,stop,truck,none,10m,25km/h
5558,sunny,night,dry,elderly,talking to someone,stop,truck,none,50m,25km/h
5559,sunny,night,dry,elderly,talking to someone,stop,truck,none,100m,25km/h
5560,sunny,night,dry,elderly,talking to someone,stop,truck,none,10m,50km/h
5561,sunny,night,dry,elderly,talking to someone,stop,truck,none,50m,50km/h
5562,sunny,night,dry,elderly,talking to someone,stop,truck,none,100m,50km/h
5563,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,25km/h
5564,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,25km/h
5565,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,25km/h
5566,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,50km/h
5567,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,50km/h
5568,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,50km/h
5569,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),10m,25km/h
5570,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),50m,25km/h
5571,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),100m,25km/h
5572,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),10m,50km/h
5573,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),50m,50km/h
5574,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),100m,50km/h
5575,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),10m,25km/h
5576,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),50m,25km/h
5577,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),100m,25km/h
5578,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),10m,50km/h
5579,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),50m,50km/h
5580,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),100m,50km/h
5581,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),10m,25km/h
5582,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),50m,25km/h
5583,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),100m,25km/h
5584,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),10m,50km/h
5585,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),50m,50km/h
5586,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),100m,50km/h
5587,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),10m,25km/h
5588,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),50m,25km/h
5589,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),100m,25km/h
5590,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),10m,50km/h
5591,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),50m,50km/h
5592,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),100m,50km/h
5593,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),10m,25km/h
5594,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,25km/h
5595,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),100m,25km/h
5596,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),10m,50km/h
5597,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,50km/h
5598,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),100m,50km/h
5599,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,none,10m,25km/h
5600,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,none,50m,25km/h
5601,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,none,100m,25km/h
5602,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,none,10m,50km/h
5603,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,none,50m,50km/h
5604,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,none,100m,50km/h
5605,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,10m,25km/h
5606,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,50m,25km/h
5607,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,100m,25km/h
5608,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,10m,50km/h
5609,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,50m,50km/h
5610,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,100m,50km/h
5611,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,none,10m,25km/h
5612,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,none,50m,25km/h
5613,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,none,100m,25km/h
5614,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,none,10m,50km/h
5615,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,none,50m,50km/h
5616,sunny,night,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,none,100m,50km/h
5617,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),10m,25km/h
5618,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),50m,25km/h
5619,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),100m,25km/h
5620,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),10m,50km/h
5621,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),50m,50km/h
5622,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),100m,50km/h
5623,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),10m,25km/h
5624,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),50m,25km/h
5625,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),100m,25km/h
5626,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),10m,50km/h
5627,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),50m,50km/h
5628,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),100m,50km/h
5629,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),10m,25km/h
5630,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),50m,25km/h
5631,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),100m,25km/h
5632,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),10m,50km/h
5633,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),50m,50km/h
5634,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),100m,50km/h
5635,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),10m,25km/h
5636,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),50m,25km/h
5637,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),100m,25km/h
5638,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),10m,50km/h
5639,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),50m,50km/h
5640,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),100m,50km/h
5641,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),10m,25km/h
5642,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),50m,25km/h
5643,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),100m,25km/h
5644,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),10m,50km/h
5645,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),50m,50km/h
5646,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),100m,50km/h
5647,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,hurry (commute or flight),10m,25km/h
5648,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,hurry (commute or flight),50m,25km/h
5649,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,hurry (commute or flight),100m,25km/h
5650,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,hurry (commute or flight),10m,50km/h
5651,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,hurry (commute or flight),50m,50km/h
5652,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,hurry (commute or flight),100m,50km/h
5653,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,none,10m,25km/h
5654,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,none,50m,25km/h
5655,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,none,100m,25km/h
5656,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,none,10m,50km/h
5657,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,none,50m,50km/h
5658,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,none,100m,50km/h
5659,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,none,10m,25km/h
5660,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,none,50m,25km/h
5661,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,none,100m,25km/h
5662,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,none,10m,50km/h
5663,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,none,50m,50km/h
5664,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,emergency vehicle,none,100m,50km/h
5665,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,none,10m,25km/h
5666,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,none,50m,25km/h
5667,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,none,100m,25km/h
5668,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,none,10m,50km/h
5669,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,none,50m,50km/h
5670,sunny,night,dry,elderly,talking to someone,moving orientation not towards crosswalk,truck,none,100m,50km/h
5671,sunny,night,dry,elderly,looking around,stop,normal car,urgent (to hospital),10m,25km/h
5672,sunny,night,dry,elderly,looking around,stop,normal car,urgent (to hospital),50m,25km/h
5673,sunny,night,dry,elderly,looking around,stop,normal car,urgent (to hospital),100m,25km/h
5674,sunny,night,dry,elderly,looking around,stop,normal car,urgent (to hospital),10m,50km/h
5675,sunny,night,dry,elderly,looking around,stop,normal car,urgent (to hospital),50m,50km/h
5676,sunny,night,dry,elderly,looking around,stop,normal car,urgent (to hospital),100m,50km/h
5677,sunny,night,dry,elderly,looking around,stop,emergency vehicle,urgent (to hospital),10m,25km/h
5678,sunny,night,dry,elderly,looking around,stop,emergency vehicle,urgent (to hospital),50m,25km/h
5679,sunny,night,dry,elderly,looking around,stop,emergency vehicle,urgent (to hospital),100m,25km/h
5680,sunny,night,dry,elderly,looking around,stop,emergency vehicle,urgent (to hospital),10m,50km/h
5681,sunny,night,dry,elderly,looking around,stop,emergency vehicle,urgent (to hospital),50m,50km/h
5682,sunny,night,dry,elderly,looking around,stop,emergency vehicle,urgent (to hospital),100m,50km/h
5683,sunny,night,dry,elderly,looking around,stop,truck,urgent (to hospital),10m,25km/h
5684,sunny,night,dry,elderly,looking around,stop,truck,urgent (to hospital),50m,25km/h
5685,sunny,night,dry,elderly,looking around,stop,truck,urgent (to hospital),100m,25km/h
5686,sunny,night,dry,elderly,looking around,stop,truck,urgent (to hospital),10m,50km/h
5687,sunny,night,dry,elderly,looking around,stop,truck,urgent (to hospital),50m,50km/h
5688,sunny,night,dry,elderly,looking around,stop,truck,urgent (to hospital),100m,50km/h
5689,sunny,night,dry,elderly,looking around,stop,normal car,hurry (commute or flight),10m,25km/h
5690,sunny,night,dry,elderly,looking around,stop,normal car,hurry (commute or flight),50m,25km/h
5691,sunny,night,dry,elderly,looking around,stop,normal car,hurry (commute or flight),100m,25km/h
5692,sunny,night,dry,elderly,looking around,stop,normal car,hurry (commute or flight),10m,50km/h
5693,sunny,night,dry,elderly,looking around,stop,normal car,hurry (commute or flight),50m,50km/h
5694,sunny,night,dry,elderly,looking around,stop,normal car,hurry (commute or flight),100m,50km/h
5695,sunny,night,dry,elderly,looking around,stop,emergency vehicle,hurry (commute or flight),10m,25km/h
5696,sunny,night,dry,elderly,looking around,stop,emergency vehicle,hurry (commute or flight),50m,25km/h
5697,sunny,night,dry,elderly,looking around,stop,emergency vehicle,hurry (commute or flight),100m,25km/h
5698,sunny,night,dry,elderly,looking around,stop,emergency vehicle,hurry (commute or flight),10m,50km/h
5699,sunny,night,dry,elderly,looking around,stop,emergency vehicle,hurry (commute or flight),50m,50km/h
5700,sunny,night,dry,elderly,looking around,stop,emergency vehicle,hurry (commute or flight),100m,50km/h
5701,sunny,night,dry,elderly,looking around,stop,truck,hurry (commute or flight),10m,25km/h
5702,sunny,night,dry,elderly,looking around,stop,truck,hurry (commute or flight),50m,25km/h
5703,sunny,night,dry,elderly,looking around,stop,truck,hurry (commute or flight),100m,25km/h
5704,sunny,night,dry,elderly,looking around,stop,truck,hurry (commute or flight),10m,50km/h
5705,sunny,night,dry,elderly,looking around,stop,truck,hurry (commute or flight),50m,50km/h
5706,sunny,night,dry,elderly,looking around,stop,truck,hurry (commute or flight),100m,50km/h
5707,sunny,night,dry,elderly,looking around,stop,normal car,none,10m,25km/h
5708,sunny,night,dry,elderly,looking around,stop,normal car,none,50m,25km/h
5709,sunny,night,dry,elderly,looking around,stop,normal car,none,100m,25km/h
5710,sunny,night,dry,elderly,looking around,stop,normal car,none,10m,50km/h
5711,sunny,night,dry,elderly,looking around,stop,normal car,none,50m,50km/h
5712,sunny,night,dry,elderly,looking around,stop,normal car,none,100m,50km/h
5713,sunny,night,dry,elderly,looking around,stop,emergency vehicle,none,10m,25km/h
5714,sunny,night,dry,elderly,looking around,stop,emergency vehicle,none,50m,25km/h
5715,sunny,night,dry,elderly,looking around,stop,emergency vehicle,none,100m,25km/h
5716,sunny,night,dry,elderly,looking around,stop,emergency vehicle,none,10m,50km/h
5717,sunny,night,dry,elderly,looking around,stop,emergency vehicle,none,50m,50km/h
5718,sunny,night,dry,elderly,looking around,stop,emergency vehicle,none,100m,50km/h
5719,sunny,night,dry,elderly,looking around,stop,truck,none,10m,25km/h
5720,sunny,night,dry,elderly,looking around,stop,truck,none,50m,25km/h
5721,sunny,night,dry,elderly,looking around,stop,truck,none,100m,25km/h
5722,sunny,night,dry,elderly,looking around,stop,truck,none,10m,50km/h
5723,sunny,night,dry,elderly,looking around,stop,truck,none,50m,50km/h
5724,sunny,night,dry,elderly,looking around,stop,truck,none,100m,50km/h
5725,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,25km/h
5726,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,25km/h
5727,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,25km/h
5728,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,50km/h
5729,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,50km/h
5730,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,50km/h
5731,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),10m,25km/h
5732,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),50m,25km/h
5733,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),100m,25km/h
5734,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),10m,50km/h
5735,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),50m,50km/h
5736,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),100m,50km/h
5737,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,truck,urgent (to hospital),10m,25km/h
5738,sunny,night,dry,elderly,looking around,moving orientation towards crosswalk,truck,urgent (to hospital),50m,25km/h
