id,weather,time,road_condition,merging_vehicle_speed,merging_gap,merging_vehicle_type,mainstream_front_space,occupant_requirement,ego_role,ego_state,ego_distance,ego_velocity,following_vehicle
36757,sunny,day,wet,60km/h,150m,truck,100m,urgent (to hospital),truck,approaching,100m,80km/h,normal car
37023,sunny,day,wet,60km/h,150m,emergency vehicle,100m,hurry (commute or flight),normal car,approaching,50m,30km/h,none
37164,sunny,day,wet,60km/h,150m,emergency vehicle,100m,none,truck,approaching,100m,30km/h,normal car
37355,sunny,day,wet,100km/h,100m,normal car,100m,none,normal car,approaching,50m,50km/h,normal car
37689,sunny,day,wet,100km/h,100m,emergency vehicle,100m,urgent (to hospital),normal car,approaching,50m,30km/h,emergency vehicle
37696,sunny,day,wet,100km/h,100m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,50m,80km/h,none
37727,sunny,day,wet,100km/h,100m,emergency vehicle,100m,urgent (to hospital),truck,approaching,10m,50km/h,none
37741,sunny,day,wet,100km/h,100m,emergency vehicle,100m,urgent (to hospital),truck,approaching,50m,80km/h,emergency vehicle
37814,sunny,day,wet,100km/h,100m,emergency vehicle,100m,hurry (commute or flight),truck,approaching,50m,50km/h,normal car
37964,sunny,day,wet,100km/h,150m,normal car,100m,urgent (to hospital),truck,approaching,100m,50km/h,none
38094,sunny,day,wet,100km/h,150m,normal car,100m,none,normal car,approaching,50m,30km/h,emergency vehicle
38113,sunny,day,wet,100km/h,150m,normal car,100m,none,emergency vehicle,approaching,10m,80km/h,normal car
38286,sunny,day,wet,100km/h,150m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,10m,30km/h,emergency vehicle
38362,sunny,day,wet,100km/h,150m,truck,100m,none,emergency vehicle,approaching,50m,80km/h,emergency vehicle
38373,sunny,day,wet,100km/h,150m,truck,100m,none,truck,approaching,50m,30km/h,none
38536,sunny,day,wet,100km/h,150m,emergency vehicle,100m,hurry (commute or flight),truck,approaching,10m,80km/h,none
38669,sunny,day,wet,100km/h,200m,normal car,100m,urgent (to hospital),emergency vehicle,approaching,50m,50km/h,none
38972,sunny,day,wet,100km/h,200m,truck,100m,hurry (commute or flight),normal car,approaching,100m,50km/h,normal car
38995,sunny,day,wet,100km/h,200m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,none
39010,sunny,day,wet,100km/h,200m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,50m,80km/h,emergency vehicle
39077,sunny,day,wet,100km/h,200m,truck,100m,none,emergency vehicle,approaching,10m,50km/h,none
39135,sunny,day,wet,100km/h,200m,emergency vehicle,100m,urgent (to hospital),normal car,approaching,100m,30km/h,normal car
39153,sunny,day,wet,100km/h,200m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,100m,30km/h,none
39161,sunny,day,wet,100km/h,200m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,100m,50km/h,normal car
39475,sunny,day,wet,35km/h,10m,normal car,50m,hurry (commute or flight),emergency vehicle,approaching,100m,80km/h,none
39495,sunny,day,wet,35km/h,10m,normal car,50m,hurry (commute or flight),emergency vehicle,approaching,100m,30km/h,emergency vehicle
39509,sunny,day,wet,35km/h,10m,normal car,50m,hurry (commute or flight),truck,approaching,10m,50km/h,none
39560,sunny,day,wet,35km/h,10m,normal car,50m,none,emergency vehicle,approaching,50m,50km/h,none
39668,sunny,day,wet,35km/h,10m,truck,50m,urgent (to hospital),truck,approaching,50m,50km/h,none
39696,sunny,day,wet,35km/h,10m,truck,50m,hurry (commute or flight),normal car,approaching,50m,30km/h,none
39780,sunny,day,wet,35km/h,10m,truck,50m,none,normal car,approaching,10m,30km/h,none
39952,sunny,day,wet,35km/h,10m,emergency vehicle,50m,hurry (commute or flight),normal car,approaching,100m,80km/h,emergency vehicle
40142,sunny,day,wet,35km/h,50m,normal car,50m,urgent (to hospital),emergency vehicle,approaching,100m,50km/h,emergency vehicle
40267,sunny,day,wet,35km/h,50m,normal car,50m,none,normal car,approaching,100m,80km/h,normal car
40304,sunny,day,wet,35km/h,50m,normal car,50m,none,emergency vehicle,approaching,100m,50km/h,emergency vehicle
40351,sunny,day,wet,35km/h,50m,truck,50m,urgent (to hospital),normal car,approaching,50m,80km/h,normal car
40571,sunny,day,wet,35km/h,50m,truck,50m,none,truck,approaching,10m,50km/h,normal car
40610,sunny,day,wet,35km/h,50m,emergency vehicle,50m,urgent (to hospital),emergency vehicle,approaching,100m,50km/h,none
40887,sunny,day,wet,35km/h,100m,normal car,50m,urgent (to hospital),truck,approaching,10m,30km/h,none
40920,sunny,day,wet,35km/h,100m,normal car,50m,hurry (commute or flight),normal car,approaching,50m,30km/h,normal car
41163,sunny,day,wet,35km/h,100m,truck,50m,hurry (commute or flight),normal car,approaching,50m,30km/h,normal car
41345,sunny,day,wet,35km/h,100m,emergency vehicle,50m,urgent (to hospital),emergency vehicle,approaching,10m,50km/h,none
41360,sunny,day,wet,35km/h,100m,emergency vehicle,50m,urgent (to hospital),emergency vehicle,approaching,50m,50km/h,emergency vehicle
41387,sunny,day,wet,35km/h,100m,emergency vehicle,50m,urgent (to hospital),truck,approaching,50m,50km/h,emergency vehicle
41502,sunny,day,wet,35km/h,100m,emergency vehicle,50m,none,emergency vehicle,approaching,100m,30km/h,none
41652,sunny,day,wet,60km/h,50m,normal car,50m,hurry (commute or flight),normal car,approaching,10m,30km/h,normal car
41668,sunny,day,wet,60km/h,50m,normal car,50m,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,none
41710,sunny,day,wet,60km/h,50m,normal car,50m,hurry (commute or flight),truck,approaching,50m,80km/h,emergency vehicle
41713,sunny,day,wet,60km/h,50m,normal car,50m,hurry (commute or flight),truck,approaching,10m,80km/h,emergency vehicle
41895,sunny,day,wet,60km/h,50m,truck,50m,hurry (commute or flight),normal car,approaching,10m,30km/h,normal car
41905,sunny,day,wet,60km/h,50m,truck,50m,hurry (commute or flight),emergency vehicle,approaching,100m,80km/h,none
41935,sunny,day,wet,60km/h,50m,truck,50m,hurry (commute or flight),truck,approaching,50m,80km/h,none
42335,sunny,day,wet,60km/h,100m,normal car,50m,urgent (to hospital),emergency vehicle,approaching,10m,50km/h,emergency vehicle
42350,sunny,day,wet,60km/h,100m,normal car,50m,urgent (to hospital),truck,approaching,50m,50km/h,normal car
42404,sunny,day,wet,60km/h,100m,normal car,50m,hurry (commute or flight),emergency vehicle,approaching,50m,50km/h,normal car
42488,sunny,day,wet,60km/h,100m,normal car,50m,none,emergency vehicle,approaching,10m,50km/h,normal car
42507,sunny,day,wet,60km/h,100m,normal car,50m,none,truck,approaching,10m,30km/h,none
42661,sunny,day,wet,60km/h,100m,truck,50m,hurry (commute or flight),truck,approaching,100m,80km/h,none
43009,sunny,day,wet,60km/h,100m,emergency vehicle,50m,none,truck,approaching,10m,80km/h,emergency vehicle
43105,sunny,day,wet,60km/h,150m,normal car,50m,hurry (commute or flight),normal car,approaching,50m,80km/h,normal car
43116,sunny,day,wet,60km/h,150m,normal car,50m,hurry (commute or flight),normal car,approaching,50m,30km/h,emergency vehicle
43139,sunny,day,wet,60km/h,150m,normal car,50m,hurry (commute or flight),emergency vehicle,approaching,100m,50km/h,emergency vehicle
43279,sunny,day,wet,60km/h,150m,truck,50m,urgent (to hospital),normal car,approaching,10m,80km/h,emergency vehicle
43415,sunny,day,wet,60km/h,150m,truck,50m,hurry (commute or flight),truck,approaching,10m,50km/h,emergency vehicle
43467,sunny,day,wet,60km/h,150m,truck,50m,none,emergency vehicle,approaching,50m,30km/h,emergency vehicle
43501,sunny,day,wet,60km/h,150m,emergency vehicle,50m,urgent (to hospital),normal car,approaching,50m,80km/h,none
43694,sunny,day,wet,60km/h,150m,emergency vehicle,50m,none,emergency vehicle,approaching,10m,50km/h,none
43935,sunny,day,wet,100km/h,100m,normal car,50m,none,emergency vehicle,approaching,50m,30km/h,none
44112,sunny,day,wet,100km/h,100m,truck,50m,hurry (commute or flight),emergency vehicle,approaching,100m,30km/h,emergency vehicle
44244,sunny,day,wet,100km/h,100m,emergency vehicle,50m,urgent (to hospital),normal car,approaching,10m,30km/h,normal car
44288,sunny,day,wet,100km/h,100m,emergency vehicle,50m,urgent (to hospital),truck,approaching,10m,50km/h,none
44333,sunny,day,wet,100km/h,100m,emergency vehicle,50m,hurry (commute or flight),normal car,approaching,10m,50km/h,emergency vehicle
44337,sunny,day,wet,100km/h,100m,emergency vehicle,50m,hurry (commute or flight),emergency vehicle,approaching,100m,30km/h,none
44417,sunny,day,wet,100km/h,100m,emergency vehicle,50m,none,emergency vehicle,approaching,100m,50km/h,none
44471,sunny,day,wet,100km/h,150m,normal car,50m,urgent (to hospital),normal car,approaching,100m,50km/h,none
44619,sunny,day,wet,100km/h,150m,normal car,50m,hurry (commute or flight),truck,approaching,50m,30km/h,normal car
44683,sunny,day,wet,100km/h,150m,normal car,50m,none,emergency vehicle,approaching,10m,80km/h,emergency vehicle
44692,sunny,day,wet,100km/h,150m,normal car,50m,none,truck,approaching,10m,80km/h,none
44762,sunny,day,wet,100km/h,150m,truck,50m,urgent (to hospital),emergency vehicle,approaching,50m,50km/h,emergency vehicle
44791,sunny,day,wet,100km/h,150m,truck,50m,urgent (to hospital),truck,approaching,10m,80km/h,emergency vehicle
45294,sunny,day,wet,100km/h,200m,normal car,50m,hurry (commute or flight),normal car,approaching,50m,30km/h,normal car
45297,sunny,day,wet,100km/h,200m,normal car,50m,hurry (commute or flight),normal car,approaching,10m,30km/h,normal car
45430,sunny,day,wet,100km/h,200m,normal car,50m,none,truck,approaching,10m,80km/h,normal car
45582,sunny,day,wet,100km/h,200m,truck,50m,hurry (commute or flight),truck,approaching,50m,30km/h,none
45706,sunny,day,wet,100km/h,200m,emergency vehicle,50m,urgent (to hospital),normal car,approaching,50m,80km/h,emergency vehicle
45893,sunny,day,wet,100km/h,200m,emergency vehicle,50m,none,emergency vehicle,approaching,100m,50km/h,emergency vehicle
45932,sunny,day,wet,35km/h,10m,normal car,20m,urgent (to hospital),normal car,approaching,50m,50km/h,none
46043,sunny,day,wet,35km/h,10m,normal car,20m,hurry (commute or flight),emergency vehicle,approaching,10m,50km/h,none
46323,sunny,day,wet,35km/h,10m,truck,20m,hurry (commute or flight),truck,approaching,10m,30km/h,normal car
46431,sunny,day,wet,35km/h,10m,emergency vehicle,20m,urgent (to hospital),normal car,approaching,10m,30km/h,normal car
46519,sunny,day,wet,35km/h,10m,emergency vehicle,20m,hurry (commute or flight),normal car,approaching,10m,80km/h,emergency vehicle
46565,sunny,day,wet,35km/h,10m,emergency vehicle,20m,hurry (commute or flight),truck,approaching,10m,50km/h,normal car
46856,sunny,day,wet,35km/h,50m,normal car,20m,none,emergency vehicle,approaching,100m,50km/h,normal car
47073,sunny,day,wet,35km/h,50m,truck,20m,none,normal car,approaching,100m,30km/h,normal car
47273,sunny,day,wet,35km/h,50m,emergency vehicle,20m,hurry (commute or flight),emergency vehicle,approaching,50m,50km/h,emergency vehicle
47361,sunny,day,wet,35km/h,50m,emergency vehicle,20m,none,truck,approaching,100m,30km/h,none
47488,sunny,day,wet,35km/h,100m,normal car,20m,hurry (commute or flight),normal car,approaching,50m,80km/h,emergency vehicle
47598,sunny,day,wet,35km/h,100m,normal car,20m,none,emergency vehicle,approaching,50m,30km/h,emergency vehicle
47709,sunny,day,wet,35km/h,100m,truck,20m,urgent (to hospital),truck,approaching,10m,30km/h,emergency vehicle
47850,sunny,day,wet,35km/h,100m,truck,20m,none,truck,approaching,50m,30km/h,none
47905,sunny,day,wet,35km/h,100m,emergency vehicle,20m,urgent (to hospital),emergency vehicle,approaching,10m,80km/h,none
47947,sunny,day,wet,35km/h,100m,emergency vehicle,20m,urgent (to hospital),truck,approaching,50m,80km/h,emergency vehicle
47995,sunny,day,wet,35km/h,100m,emergency vehicle,20m,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,normal car
48522,sunny,day,wet,60km/h,50m,truck,20m,none,normal car,approaching,100m,30km/h,none
48593,sunny,day,wet,60km/h,50m,truck,20m,none,truck,approaching,100m,50km/h,emergency vehicle
48740,sunny,day,wet,60km/h,50m,emergency vehicle,20m,hurry (commute or flight),truck,approaching,50m,50km/h,none
48773,sunny,day,wet,60km/h,50m,emergency vehicle,20m,none,normal car,approaching,100m,50km/h,normal car
49100,sunny,day,wet,60km/h,100m,truck,20m,urgent (to hospital),normal car,approaching,50m,50km/h,normal car
49129,sunny,day,wet,60km/h,100m,truck,20m,urgent (to hospital),emergency vehicle,approaching,10m,80km/h,normal car
49205,sunny,day,wet,60km/h,100m,truck,20m,hurry (commute or flight),emergency vehicle,approaching,100m,50km/h,normal car
49459,sunny,day,wet,60km/h,100m,emergency vehicle,20m,hurry (commute or flight),emergency vehicle,approaching,50m,80km/h,emergency vehicle
49501,sunny,day,wet,60km/h,100m,emergency vehicle,20m,none,normal car,approaching,100m,80km/h,normal car
49670,sunny,day,wet,60km/h,150m,normal car,20m,hurry (commute or flight),normal car,approaching,10m,50km/h,normal car
49777,sunny,day,wet,60km/h,150m,normal car,20m,none,emergency vehicle,approaching,10m,80km/h,normal car
49785,sunny,day,wet,60km/h,150m,normal car,20m,none,emergency vehicle,approaching,50m,30km/h,emergency vehicle
49830,sunny,day,wet,60km/h,150m,truck,20m,urgent (to hospital),normal car,approaching,50m,30km/h,normal car
49909,sunny,day,wet,60km/h,150m,truck,20m,hurry (commute or flight),normal car,approaching,50m,80km/h,normal car
50199,sunny,day,wet,60km/h,150m,emergency vehicle,20m,hurry (commute or flight),truck,approaching,50m,30km/h,none
50298,sunny,day,wet,60km/h,150m,emergency vehicle,20m,none,truck,approaching,50m,30km/h,emergency vehicle
50340,sunny,day,wet,100km/h,100m,normal car,20m,urgent (to hospital),emergency vehicle,approaching,100m,30km/h,normal car
50352,sunny,day,wet,100km/h,100m,normal car,20m,urgent (to hospital),emergency vehicle,approaching,50m,30km/h,emergency vehicle
50443,sunny,day,wet,100km/h,100m,normal car,20m,hurry (commute or flight),truck,approaching,10m,80km/h,none
50505,sunny,day,wet,100km/h,100m,normal car,20m,none,emergency vehicle,approaching,50m,30km/h,normal car
50789,sunny,day,wet,100km/h,100m,emergency vehicle,20m,urgent (to hospital),normal car,approaching,100m,50km/h,none
50882,sunny,day,wet,100km/h,100m,emergency vehicle,20m,hurry (commute or flight),normal car,approaching,50m,50km/h,normal car
51038,sunny,day,wet,100km/h,150m,normal car,20m,urgent (to hospital),normal car,approaching,10m,50km/h,none
51111,sunny,day,wet,100km/h,150m,normal car,20m,urgent (to hospital),truck,approaching,10m,30km/h,emergency vehicle
51301,sunny,day,wet,100km/h,150m,truck,20m,urgent (to hospital),emergency vehicle,approaching,100m,80km/h,none
51594,sunny,day,wet,100km/h,150m,emergency vehicle,20m,urgent (to hospital),truck,approaching,50m,30km/h,emergency vehicle
51801,sunny,day,wet,100km/h,200m,normal car,20m,urgent (to hospital),emergency vehicle,approaching,50m,30km/h,normal car
52248,sunny,day,wet,100km/h,200m,emergency vehicle,20m,urgent (to hospital),normal car,approaching,100m,30km/h,none
52464,sunny,day,wet,100km/h,200m,emergency vehicle,20m,none,truck,approaching,100m,30km/h,none
52468,sunny,day,wet,100km/h,200m,emergency vehicle,20m,none,truck,approaching,10m,80km/h,none
52478,sunny,day,wet,100km/h,200m,emergency vehicle,20m,none,truck,approaching,10m,50km/h,normal car
52490,sunny,night,dry,35km/h,10m,normal car,free,urgent (to hospital),normal car,approaching,100m,50km/h,none
52491,sunny,night,dry,35km/h,10m,normal car,free,urgent (to hospital),normal car,approaching,100m,30km/h,none
52572,sunny,night,dry,35km/h,10m,normal car,free,hurry (commute or flight),normal car,approaching,100m,30km/h,none
52778,sunny,night,dry,35km/h,10m,truck,free,urgent (to hospital),emergency vehicle,approaching,100m,50km/h,emergency vehicle
52786,sunny,night,dry,35km/h,10m,truck,free,urgent (to hospital),truck,approaching,100m,80km/h,none
52847,sunny,night,dry,35km/h,10m,truck,free,hurry (commute or flight),emergency vehicle,approaching,10m,50km/h,none
52913,sunny,night,dry,35km/h,10m,truck,free,none,normal car,approaching,100m,50km/h,emergency vehicle
53183,sunny,night,dry,35km/h,10m,emergency vehicle,free,none,emergency vehicle,approaching,100m,50km/h,emergency vehicle
53262,sunny,night,dry,35km/h,50m,normal car,free,urgent (to hospital),emergency vehicle,approaching,10m,30km/h,normal car
53638,sunny,night,dry,35km/h,50m,truck,free,none,normal car,approaching,10m,80km/h,normal car
53643,sunny,night,dry,35km/h,50m,truck,free,none,normal car,approaching,100m,30km/h,emergency vehicle
53987,sunny,night,dry,35km/h,100m,normal car,free,urgent (to hospital),emergency vehicle,approaching,50m,50km/h,normal car
53996,sunny,night,dry,35km/h,100m,normal car,free,urgent (to hospital),emergency vehicle,approaching,50m,50km/h,emergency vehicle
54201,sunny,night,dry,35km/h,100m,truck,free,urgent (to hospital),normal car,approaching,100m,30km/h,normal car
54230,sunny,night,dry,35km/h,100m,truck,free,urgent (to hospital),emergency vehicle,approaching,50m,50km/h,normal car
54321,sunny,night,dry,35km/h,100m,truck,free,hurry (commute or flight),emergency vehicle,approaching,50m,30km/h,emergency vehicle
54418,sunny,night,dry,35km/h,100m,truck,free,none,truck,approaching,50m,80km/h,normal car
54469,sunny,night,dry,35km/h,100m,emergency vehicle,free,urgent (to hospital),emergency vehicle,approaching,100m,80km/h,normal car
54579,sunny,night,dry,35km/h,100m,emergency vehicle,free,hurry (commute or flight),truck,approaching,100m,30km/h,normal car
54633,sunny,night,dry,35km/h,100m,emergency vehicle,free,none,emergency vehicle,approaching,100m,30km/h,normal car
55182,sunny,night,dry,60km/h,50m,emergency vehicle,free,urgent (to hospital),normal car,approaching,100m,30km/h,emergency vehicle
55225,sunny,night,dry,60km/h,50m,emergency vehicle,free,urgent (to hospital),truck,approaching,100m,80km/h,normal car
55498,sunny,night,dry,60km/h,100m,normal car,free,hurry (commute or flight),normal car,approaching,50m,80km/h,normal car
55508,sunny,night,dry,60km/h,100m,normal car,free,hurry (commute or flight),normal car,approaching,50m,50km/h,emergency vehicle
55686,sunny,night,dry,60km/h,100m,truck,free,urgent (to hospital),emergency vehicle,approaching,100m,30km/h,normal car
55729,sunny,night,dry,60km/h,100m,truck,free,hurry (commute or flight),normal car,approaching,100m,80km/h,none
56166,sunny,night,dry,60km/h,150m,normal car,free,urgent (to hospital),emergency vehicle,approaching,50m,30km/h,none
56195,sunny,night,dry,60km/h,150m,normal car,free,urgent (to hospital),truck,approaching,10m,50km/h,none
56254,sunny,night,dry,60km/h,150m,normal car,free,hurry (commute or flight),emergency vehicle,approaching,50m,80km/h,normal car
56259,sunny,night,dry,60km/h,150m,normal car,free,hurry (commute or flight),emergency vehicle,approaching,10m,30km/h,normal car
56268,sunny,night,dry,60km/h,150m,normal car,free,hurry (commute or flight),emergency vehicle,approaching,10m,30km/h,emergency vehicle
56288,sunny,night,dry,60km/h,150m,normal car,free,hurry (commute or flight),truck,approaching,100m,50km/h,emergency vehicle
56368,sunny,night,dry,60km/h,150m,normal car,free,none,truck,approaching,100m,80km/h,emergency vehicle
56488,sunny,night,dry,60km/h,150m,truck,free,hurry (commute or flight),emergency vehicle,approaching,50m,80km/h,none
57070,sunny,night,dry,100km/h,100m,normal car,free,none,emergency vehicle,approaching,100m,80km/h,emergency vehicle
57094,sunny,night,dry,100km/h,100m,normal car,free,none,truck,approaching,10m,80km/h,normal car
57322,sunny,night,dry,100km/h,100m,truck,free,none,truck,approaching,100m,80km/h,none
57681,sunny,night,dry,100km/h,150m,normal car,free,hurry (commute or flight),normal car,approaching,10m,30km/h,none
57810,sunny,night,dry,100km/h,150m,normal car,free,none,truck,approaching,100m,30km/h,none
57871,sunny,night,dry,100km/h,150m,truck,free,urgent (to hospital),emergency vehicle,approaching,100m,80km/h,normal car
58024,sunny,night,dry,100km/h,150m,truck,free,none,emergency vehicle,approaching,100m,80km/h,none
58178,sunny,night,dry,100km/h,150m,emergency vehicle,free,hurry (commute or flight),normal car,approaching,100m,50km/h,emergency vehicle
58407,sunny,night,dry,100km/h,200m,normal car,free,hurry (commute or flight),normal car,approaching,50m,30km/h,none
58507,sunny,night,dry,100km/h,200m,normal car,free,none,normal car,approaching,10m,80km/h,emergency vehicle
58526,sunny,night,dry,100km/h,200m,normal car,free,none,emergency vehicle,approaching,10m,50km/h,normal car
58548,sunny,night,dry,100km/h,200m,normal car,free,none,truck,approaching,100m,30km/h,normal car
58611,sunny,night,dry,100km/h,200m,truck,free,urgent (to hospital),emergency vehicle,approaching,100m,30km/h,emergency vehicle
58687,sunny,night,dry,100km/h,200m,truck,free,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,normal car
58920,sunny,night,dry,100km/h,200m,emergency vehicle,free,hurry (commute or flight),emergency vehicle,approaching,50m,30km/h,none
59008,sunny,night,dry,100km/h,200m,emergency vehicle,free,none,emergency vehicle,approaching,50m,80km/h,normal car
59126,sunny,night,dry,35km/h,10m,normal car,100m,urgent (to hospital),truck,approaching,50m,50km/h,emergency vehicle
59191,sunny,night,dry,35km/h,10m,normal car,100m,hurry (commute or flight),truck,approaching,10m,80km/h,none
59350,sunny,night,dry,35km/h,10m,truck,100m,urgent (to hospital),truck,approaching,50m,80km/h,none
59407,sunny,night,dry,35km/h,10m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,none
59525,sunny,night,dry,35km/h,10m,truck,100m,none,truck,approaching,10m,50km/h,normal car
59550,sunny,night,dry,35km/h,10m,emergency vehicle,100m,urgent (to hospital),normal car,approaching,50m,30km/h,normal car
59670,sunny,night,dry,35km/h,10m,emergency vehicle,100m,hurry (commute or flight),emergency vehicle,approaching,10m,30km/h,emergency vehicle
59729,sunny,night,dry,35km/h,10m,emergency vehicle,100m,none,emergency vehicle,approaching,50m,50km/h,none
59760,sunny,night,dry,35km/h,10m,emergency vehicle,100m,none,truck,approaching,10m,30km/h,none
59894,sunny,night,dry,35km/h,50m,normal car,100m,hurry (commute or flight),emergency vehicle,approaching,10m,50km/h,none
59961,sunny,night,dry,35km/h,50m,normal car,100m,none,normal car,approaching,100m,30km/h,emergency vehicle
59986,sunny,night,dry,35km/h,50m,normal car,100m,none,emergency vehicle,approaching,100m,80km/h,emergency vehicle
60181,sunny,night,dry,35km/h,50m,truck,100m,hurry (commute or flight),truck,approaching,10m,80km/h,emergency vehicle
60285,sunny,night,dry,35km/h,50m,emergency vehicle,100m,urgent (to hospital),normal car,approaching,100m,30km/h,emergency vehicle
60312,sunny,night,dry,35km/h,50m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,100m,30km/h,emergency vehicle
60435,sunny,night,dry,35km/h,50m,emergency vehicle,100m,none,normal car,approaching,10m,30km/h,none
60450,sunny,night,dry,35km/h,50m,emergency vehicle,100m,none,normal car,approaching,50m,30km/h,emergency vehicle
60649,sunny,night,dry,35km/h,100m,normal car,100m,hurry (commute or flight),truck,approaching,10m,80km/h,none
60678,sunny,night,dry,35km/h,100m,normal car,100m,none,normal car,approaching,10m,30km/h,none
60680,sunny,night,dry,35km/h,100m,normal car,100m,none,normal car,approaching,100m,50km/h,normal car
60961,sunny,night,dry,35km/h,100m,truck,100m,none,emergency vehicle,approaching,50m,80km/h,emergency vehicle
61222,sunny,night,dry,35km/h,100m,emergency vehicle,100m,none,truck,approaching,50m,80km/h,normal car
61232,sunny,night,dry,35km/h,100m,emergency vehicle,100m,none,truck,approaching,50m,50km/h,emergency vehicle
61326,sunny,night,dry,60km/h,50m,normal car,100m,hurry (commute or flight),normal car,approaching,10m,30km/h,none
61393,sunny,night,dry,60km/h,50m,normal car,100m,hurry (commute or flight),truck,approaching,50m,80km/h,emergency vehicle
61594,sunny,night,dry,60km/h,50m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,none
61820,sunny,night,dry,60km/h,50m,emergency vehicle,100m,hurry (commute or flight),normal car,approaching,10m,50km/h,normal car
61890,sunny,night,dry,60km/h,50m,emergency vehicle,100m,none,normal car,approaching,50m,30km/h,none
62021,sunny,night,dry,60km/h,100m,normal car,100m,urgent (to hospital),truck,approaching,100m,50km/h,none
62030,sunny,night,dry,60km/h,100m,normal car,100m,urgent (to hospital),truck,approaching,100m,50km/h,normal car
62039,sunny,night,dry,60km/h,100m,normal car,100m,urgent (to hospital),truck,approaching,100m,50km/h,emergency vehicle
62058,sunny,night,dry,60km/h,100m,normal car,100m,hurry (commute or flight),normal car,approaching,100m,30km/h,normal car
62066,sunny,night,dry,60km/h,100m,normal car,100m,hurry (commute or flight),normal car,approaching,100m,50km/h,emergency vehicle
62126,sunny,night,dry,60km/h,100m,normal car,100m,hurry (commute or flight),truck,approaching,10m,50km/h,emergency vehicle
62351,sunny,night,dry,60km/h,100m,truck,100m,hurry (commute or flight),truck,approaching,10m,50km/h,none
62461,sunny,night,dry,60km/h,100m,emergency vehicle,100m,urgent (to hospital),normal car,approaching,100m,80km/h,normal car
62491,sunny,night,dry,60km/h,100m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,50m,80km/h,normal car
62863,sunny,night,dry,60km/h,150m,normal car,100m,none,normal car,approaching,10m,80km/h,none
62873,sunny,night,dry,60km/h,150m,normal car,100m,none,normal car,approaching,10m,50km/h,normal car
62921,sunny,night,dry,60km/h,150m,normal car,100m,none,truck,approaching,100m,50km/h,normal car
63031,sunny,night,dry,60km/h,150m,truck,100m,hurry (commute or flight),normal car,approaching,50m,80km/h,normal car
63067,sunny,night,dry,60km/h,150m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,50m,80km/h,emergency vehicle
63098,sunny,night,dry,60km/h,150m,truck,100m,hurry (commute or flight),truck,approaching,10m,50km/h,emergency vehicle
63117,sunny,night,dry,60km/h,150m,truck,100m,none,normal car,approaching,10m,30km/h,normal car
63153,sunny,night,dry,60km/h,150m,truck,100m,none,emergency vehicle,approaching,10m,30km/h,emergency vehicle
63192,sunny,night,dry,60km/h,150m,emergency vehicle,100m,urgent (to hospital),normal car,approaching,100m,30km/h,normal car
63220,sunny,night,dry,60km/h,150m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,50m,80km/h,normal car
63602,sunny,night,dry,100km/h,100m,normal car,100m,none,normal car,approaching,10m,50km/h,normal car
63776,sunny,night,dry,100km/h,100m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,100m,50km/h,none
63843,sunny,night,dry,100km/h,100m,truck,100m,none,normal car,approaching,50m,30km/h,normal car
64185,sunny,night,dry,100km/h,150m,normal car,100m,urgent (to hospital),emergency vehicle,approaching,50m,30km/h,none
64245,sunny,night,dry,100km/h,150m,normal car,100m,hurry (commute or flight),normal car,approaching,100m,30km/h,normal car
64552,sunny,night,dry,100km/h,150m,truck,100m,hurry (commute or flight),truck,approaching,50m,80km/h,emergency vehicle
64719,sunny,night,dry,100km/h,150m,emergency vehicle,100m,urgent (to hospital),truck,approaching,10m,30km/h,emergency vehicle
64769,sunny,night,dry,100km/h,150m,emergency vehicle,100m,hurry (commute or flight),emergency vehicle,approaching,50m,50km/h,emergency vehicle
64936,sunny,night,dry,100km/h,200m,normal car,100m,urgent (to hospital),truck,approaching,100m,80km/h,none
65081,sunny,night,dry,100km/h,200m,normal car,100m,none,emergency vehicle,approaching,100m,50km/h,normal car
65115,sunny,night,dry,100km/h,200m,normal car,100m,none,truck,approaching,10m,30km/h,normal car
65221,sunny,night,dry,100km/h,200m,truck,100m,hurry (commute or flight),normal car,approaching,10m,80km/h,normal car
65529,sunny,night,dry,100km/h,200m,emergency vehicle,100m,hurry (commute or flight),truck,approaching,10m,30km/h,emergency vehicle
65633,sunny,night,dry,35km/h,10m,normal car,50m,urgent (to hospital),normal car,approaching,50m,50km/h,emergency vehicle
