id,Météo,Moment de la journée,État de la route,Vitesse du véhicule en insertion,Distance du véhicule en insertion,Type de véhicule en insertion,Espace devant sur la voie principale,Besoin du passager,Rôle du véhicule ego,État du véhicule ego,Distance du véhicule ego,Vitesse du véhicule ego,Véhicule suiveur
49830,ensoleillé,jour,mouillé,60 km/h,150 m,camion,20 m,urgence (vers l'hôpital),voiture,en approche,50 m,30 km/h,voiture
49909,ensoleillé,jour,mouillé,60 km/h,150 m,camion,20 m,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,voiture
50199,ensoleillé,jour,mouillé,60 km/h,150 m,véhicule prioritaire,20 m,pressé (travail ou vol),camion,en approche,50 m,30 km/h,aucun
50298,ensoleillé,jour,mouillé,60 km/h,150 m,véhicule prioritaire,20 m,aucune,camion,en approche,50 m,30 km/h,véhicule prioritaire
50340,ensoleillé,jour,mouillé,100 km/h,100 m,voiture,20 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,30 km/h,voiture
50352,ensoleillé,jour,mouillé,100 km/h,100 m,voiture,20 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,véhicule prioritaire
50443,ensoleillé,jour,mouillé,100 km/h,100 m,voiture,20 m,pressé (travail ou vol),camion,en approche,10 m,80 km/h,aucun
50505,ensoleillé,jour,mouillé,100 km/h,100 m,voiture,20 m,aucune,véhicule prioritaire,en approche,50 m,30 km/h,voiture
50789,ensoleillé,jour,mouillé,100 km/h,100 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,aucun
50882,ensoleillé,jour,mouillé,100 km/h,100 m,véhicule prioritaire,20 m,pressé (travail ou vol),voiture,en approche,50 m,50 km/h,voiture
51038,ensoleillé,jour,mouillé,100 km/h,150 m,voiture,20 m,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,aucun
51111,ensoleillé,jour,mouillé,100 km/h,150 m,voiture,20 m,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,véhicule prioritaire
51301,ensoleillé,jour,mouillé,100 km/h,150 m,camion,20 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,80 km/h,aucun
51594,ensoleillé,jour,mouillé,100 km/h,150 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),camion,en approche,50 m,30 km/h,véhicule prioritaire
51801,ensoleillé,jour,mouillé,100 km/h,200 m,voiture,20 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,voiture
52248,ensoleillé,jour,mouillé,100 km/h,200 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,aucun
52464,ensoleillé,jour,mouillé,100 km/h,200 m,véhicule prioritaire,20 m,aucune,camion,en approche,100 m,30 km/h,aucun
52468,ensoleillé,jour,mouillé,100 km/h,200 m,véhicule prioritaire,20 m,aucune,camion,en approche,10 m,80 km/h,aucun
52478,ensoleillé,jour,mouillé,100 km/h,200 m,véhicule prioritaire,20 m,aucune,camion,en approche,10 m,50 km/h,voiture
52490,ensoleillé,nuit,sec,35 km/h,10 m,voiture,libre,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,aucun
52491,ensoleillé,nuit,sec,35 km/h,10 m,voiture,libre,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,aucun
52572,ensoleillé,nuit,sec,35 km/h,10 m,voiture,libre,pressé (travail ou vol),voiture,en approche,100 m,30 km/h,aucun
52778,ensoleillé,nuit,sec,35 km/h,10 m,camion,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,50 km/h,véhicule prioritaire
52786,ensoleillé,nuit,sec,35 km/h,10 m,camion,libre,urgence (vers l'hôpital),camion,en approche,100 m,80 km/h,aucun
52847,ensoleillé,nuit,sec,35 km/h,10 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,50 km/h,aucun
52913,ensoleillé,nuit,sec,35 km/h,10 m,camion,libre,aucune,voiture,en approche,100 m,50 km/h,véhicule prioritaire
53183,ensoleillé,nuit,sec,35 km/h,10 m,véhicule prioritaire,libre,aucune,véhicule prioritaire,en approche,100 m,50 km/h,véhicule prioritaire
53262,ensoleillé,nuit,sec,35 km/h,50 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,30 km/h,voiture
53638,ensoleillé,nuit,sec,35 km/h,50 m,camion,libre,aucune,voiture,en approche,10 m,80 km/h,voiture
53643,ensoleillé,nuit,sec,35 km/h,50 m,camion,libre,aucune,voiture,en approche,100 m,30 km/h,véhicule prioritaire
53987,ensoleillé,nuit,sec,35 km/h,100 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,voiture
53996,ensoleillé,nuit,sec,35 km/h,100 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,véhicule prioritaire
54201,ensoleillé,nuit,sec,35 km/h,100 m,camion,libre,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,voiture
54230,ensoleillé,nuit,sec,35 km/h,100 m,camion,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,voiture
54321,ensoleillé,nuit,sec,35 km/h,100 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,30 km/h,véhicule prioritaire
54418,ensoleillé,nuit,sec,35 km/h,100 m,camion,libre,aucune,camion,en approche,50 m,80 km/h,voiture
54469,ensoleillé,nuit,sec,35 km/h,100 m,véhicule prioritaire,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,80 km/h,voiture
54579,ensoleillé,nuit,sec,35 km/h,100 m,véhicule prioritaire,libre,pressé (travail ou vol),camion,en approche,100 m,30 km/h,voiture
54633,ensoleillé,nuit,sec,35 km/h,100 m,véhicule prioritaire,libre,aucune,véhicule prioritaire,en approche,100 m,30 km/h,voiture
55182,ensoleillé,nuit,sec,60 km/h,50 m,véhicule prioritaire,libre,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
55225,ensoleillé,nuit,sec,60 km/h,50 m,véhicule prioritaire,libre,urgence (vers l'hôpital),camion,en approche,100 m,80 km/h,voiture
55498,ensoleillé,nuit,sec,60 km/h,100 m,voiture,libre,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,voiture
55508,ensoleillé,nuit,sec,60 km/h,100 m,voiture,libre,pressé (travail ou vol),voiture,en approche,50 m,50 km/h,véhicule prioritaire
55686,ensoleillé,nuit,sec,60 km/h,100 m,camion,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,30 km/h,voiture
55729,ensoleillé,nuit,sec,60 km/h,100 m,camion,libre,pressé (travail ou vol),voiture,en approche,100 m,80 km/h,aucun
56166,ensoleillé,nuit,sec,60 km/h,150 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,aucun
56195,ensoleillé,nuit,sec,60 km/h,150 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,aucun
56254,ensoleillé,nuit,sec,60 km/h,150 m,voiture,libre,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,voiture
56259,ensoleillé,nuit,sec,60 km/h,150 m,voiture,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,30 km/h,voiture
56268,ensoleillé,nuit,sec,60 km/h,150 m,voiture,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,30 km/h,véhicule prioritaire
56288,ensoleillé,nuit,sec,60 km/h,150 m,voiture,libre,pressé (travail ou vol),camion,en approche,100 m,50 km/h,véhicule prioritaire
56368,ensoleillé,nuit,sec,60 km/h,150 m,voiture,libre,aucune,camion,en approche,100 m,80 km/h,véhicule prioritaire
56488,ensoleillé,nuit,sec,60 km/h,150 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,aucun
57070,ensoleillé,nuit,sec,100 km/h,100 m,voiture,libre,aucune,véhicule prioritaire,en approche,100 m,80 km/h,véhicule prioritaire
57094,ensoleillé,nuit,sec,100 km/h,100 m,voiture,libre,aucune,camion,en approche,10 m,80 km/h,voiture
57322,ensoleillé,nuit,sec,100 km/h,100 m,camion,libre,aucune,camion,en approche,100 m,80 km/h,aucun
57681,ensoleillé,nuit,sec,100 km/h,150 m,voiture,libre,pressé (travail ou vol),voiture,en approche,10 m,30 km/h,aucun
57810,ensoleillé,nuit,sec,100 km/h,150 m,voiture,libre,aucune,camion,en approche,100 m,30 km/h,aucun
57871,ensoleillé,nuit,sec,100 km/h,150 m,camion,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,80 km/h,voiture
58024,ensoleillé,nuit,sec,100 km/h,150 m,camion,libre,aucune,véhicule prioritaire,en approche,100 m,80 km/h,aucun
58178,ensoleillé,nuit,sec,100 km/h,150 m,véhicule prioritaire,libre,pressé (travail ou vol),voiture,en approche,100 m,50 km/h,véhicule prioritaire
58407,ensoleillé,nuit,sec,100 km/h,200 m,voiture,libre,pressé (travail ou vol),voiture,en approche,50 m,30 km/h,aucun
58507,ensoleillé,nuit,sec,100 km/h,200 m,voiture,libre,aucune,voiture,en approche,10 m,80 km/h,véhicule prioritaire
58526,ensoleillé,nuit,sec,100 km/h,200 m,voiture,libre,aucune,véhicule prioritaire,en approche,10 m,50 km/h,voiture
58548,ensoleillé,nuit,sec,100 km/h,200 m,voiture,libre,aucune,camion,en approche,100 m,30 km/h,voiture
58611,ensoleillé,nuit,sec,100 km/h,200 m,camion,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,30 km/h,véhicule prioritaire
58687,ensoleillé,nuit,sec,100 km/h,200 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,voiture
58920,ensoleillé,nuit,sec,100 km/h,200 m,véhicule prioritaire,libre,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,30 km/h,aucun
59008,ensoleillé,nuit,sec,100 km/h,200 m,véhicule prioritaire,libre,aucune,véhicule prioritaire,en approche,50 m,80 km/h,voiture
59126,ensoleillé,nuit,sec,35 km/h,10 m,voiture,100 m,urgence (vers l'hôpital),camion,en approche,50 m,50 km/h,véhicule prioritaire
59191,ensoleillé,nuit,sec,35 km/h,10 m,voiture,100 m,pressé (travail ou vol),camion,en approche,10 m,80 km/h,aucun
59350,ensoleillé,nuit,sec,35 km/h,10 m,camion,100 m,urgence (vers l'hôpital),camion,en approche,50 m,80 km/h,aucun
59407,ensoleillé,nuit,sec,35 km/h,10 m,camion,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,aucun
59525,ensoleillé,nuit,sec,35 km/h,10 m,camion,100 m,aucune,camion,en approche,10 m,50 km/h,voiture
59550,ensoleillé,nuit,sec,35 km/h,10 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),voiture,en approche,50 m,30 km/h,voiture
59670,ensoleillé,nuit,sec,35 km/h,10 m,véhicule prioritaire,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,30 km/h,véhicule prioritaire
59729,ensoleillé,nuit,sec,35 km/h,10 m,véhicule prioritaire,100 m,aucune,véhicule prioritaire,en approche,50 m,50 km/h,aucun
59760,ensoleillé,nuit,sec,35 km/h,10 m,véhicule prioritaire,100 m,aucune,camion,en approche,10 m,30 km/h,aucun
59894,ensoleillé,nuit,sec,35 km/h,50 m,voiture,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,50 km/h,aucun
59961,ensoleillé,nuit,sec,35 km/h,50 m,voiture,100 m,aucune,voiture,en approche,100 m,30 km/h,véhicule prioritaire
59986,ensoleillé,nuit,sec,35 km/h,50 m,voiture,100 m,aucune,véhicule prioritaire,en approche,100 m,80 km/h,véhicule prioritaire
60181,ensoleillé,nuit,sec,35 km/h,50 m,camion,100 m,pressé (travail ou vol),camion,en approche,10 m,80 km/h,véhicule prioritaire
60285,ensoleillé,nuit,sec,35 km/h,50 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
60312,ensoleillé,nuit,sec,35 km/h,50 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,30 km/h,véhicule prioritaire
60435,ensoleillé,nuit,sec,35 km/h,50 m,véhicule prioritaire,100 m,aucune,voiture,en approche,10 m,30 km/h,aucun
60450,ensoleillé,nuit,sec,35 km/h,50 m,véhicule prioritaire,100 m,aucune,voiture,en approche,50 m,30 km/h,véhicule prioritaire
60649,ensoleillé,nuit,sec,35 km/h,100 m,voiture,100 m,pressé (travail ou vol),camion,en approche,10 m,80 km/h,aucun
60678,ensoleillé,nuit,sec,35 km/h,100 m,voiture,100 m,aucune,voiture,en approche,10 m,30 km/h,aucun
60680,ensoleillé,nuit,sec,35 km/h,100 m,voiture,100 m,aucune,voiture,en approche,100 m,50 km/h,voiture
60961,ensoleillé,nuit,sec,35 km/h,100 m,camion,100 m,aucune,véhicule prioritaire,en approche,50 m,80 km/h,véhicule prioritaire
61222,ensoleillé,nuit,sec,35 km/h,100 m,véhicule prioritaire,100 m,aucune,camion,en approche,50 m,80 km/h,voiture
61232,ensoleillé,nuit,sec,35 km/h,100 m,véhicule prioritaire,100 m,aucune,camion,en approche,50 m,50 km/h,véhicule prioritaire
61326,ensoleillé,nuit,sec,60 km/h,50 m,voiture,100 m,pressé (travail ou vol),voiture,en approche,10 m,30 km/h,aucun
61393,ensoleillé,nuit,sec,60 km/h,50 m,voiture,100 m,pressé (travail ou vol),camion,en approche,50 m,80 km/h,véhicule prioritaire
61594,ensoleillé,nuit,sec,60 km/h,50 m,camion,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,aucun
61820,ensoleillé,nuit,sec,60 km/h,50 m,véhicule prioritaire,100 m,pressé (travail ou vol),voiture,en approche,10 m,50 km/h,voiture
61890,ensoleillé,nuit,sec,60 km/h,50 m,véhicule prioritaire,100 m,aucune,voiture,en approche,50 m,30 km/h,aucun
62021,ensoleillé,nuit,sec,60 km/h,100 m,voiture,100 m,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,aucun
62030,ensoleillé,nuit,sec,60 km/h,100 m,voiture,100 m,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,voiture
62039,ensoleillé,nuit,sec,60 km/h,100 m,voiture,100 m,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,véhicule prioritaire
62058,ensoleillé,nuit,sec,60 km/h,100 m,voiture,100 m,pressé (travail ou vol),voiture,en approche,100 m,30 km/h,voiture
62066,ensoleillé,nuit,sec,60 km/h,100 m,voiture,100 m,pressé (travail ou vol),voiture,en approche,100 m,50 km/h,véhicule prioritaire
62126,ensoleillé,nuit,sec,60 km/h,100 m,voiture,100 m,pressé (travail ou vol),camion,en approche,10 m,50 km/h,véhicule prioritaire
62351,ensoleillé,nuit,sec,60 km/h,100 m,camion,100 m,pressé (travail ou vol),camion,en approche,10 m,50 km/h,aucun
62461,ensoleillé,nuit,sec,60 km/h,100 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,80 km/h,voiture
62491,ensoleillé,nuit,sec,60 km/h,100 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,80 km/h,voiture
62863,ensoleillé,nuit,sec,60 km/h,150 m,voiture,100 m,aucune,voiture,en approche,10 m,80 km/h,aucun
62873,ensoleillé,nuit,sec,60 km/h,150 m,voiture,100 m,aucune,voiture,en approche,10 m,50 km/h,voiture
62921,ensoleillé,nuit,sec,60 km/h,150 m,voiture,100 m,aucune,camion,en approche,100 m,50 km/h,voiture
63031,ensoleillé,nuit,sec,60 km/h,150 m,camion,100 m,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,voiture
63067,ensoleillé,nuit,sec,60 km/h,150 m,camion,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,véhicule prioritaire
63098,ensoleillé,nuit,sec,60 km/h,150 m,camion,100 m,pressé (travail ou vol),camion,en approche,10 m,50 km/h,véhicule prioritaire
63117,ensoleillé,nuit,sec,60 km/h,150 m,camion,100 m,aucune,voiture,en approche,10 m,30 km/h,voiture
63153,ensoleillé,nuit,sec,60 km/h,150 m,camion,100 m,aucune,véhicule prioritaire,en approche,10 m,30 km/h,véhicule prioritaire
63192,ensoleillé,nuit,sec,60 km/h,150 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,voiture
63220,ensoleillé,nuit,sec,60 km/h,150 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,80 km/h,voiture
63602,ensoleillé,nuit,sec,100 km/h,100 m,voiture,100 m,aucune,voiture,en approche,10 m,50 km/h,voiture
63776,ensoleillé,nuit,sec,100 km/h,100 m,camion,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,50 km/h,aucun
63843,ensoleillé,nuit,sec,100 km/h,100 m,camion,100 m,aucune,voiture,en approche,50 m,30 km/h,voiture
64185,ensoleillé,nuit,sec,100 km/h,150 m,voiture,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,aucun
64245,ensoleillé,nuit,sec,100 km/h,150 m,voiture,100 m,pressé (travail ou vol),voiture,en approche,100 m,30 km/h,voiture
64552,ensoleillé,nuit,sec,100 km/h,150 m,camion,100 m,pressé (travail ou vol),camion,en approche,50 m,80 km/h,véhicule prioritaire
64719,ensoleillé,nuit,sec,100 km/h,150 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,véhicule prioritaire
64769,ensoleillé,nuit,sec,100 km/h,150 m,véhicule prioritaire,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,50 km/h,véhicule prioritaire
64936,ensoleillé,nuit,sec,100 km/h,200 m,voiture,100 m,urgence (vers l'hôpital),camion,en approche,100 m,80 km/h,aucun
65081,ensoleillé,nuit,sec,100 km/h,200 m,voiture,100 m,aucune,véhicule prioritaire,en approche,100 m,50 km/h,voiture
65115,ensoleillé,nuit,sec,100 km/h,200 m,voiture,100 m,aucune,camion,en approche,10 m,30 km/h,voiture
65221,ensoleillé,nuit,sec,100 km/h,200 m,camion,100 m,pressé (travail ou vol),voiture,en approche,10 m,80 km/h,voiture
65529,ensoleillé,nuit,sec,100 km/h,200 m,véhicule prioritaire,100 m,pressé (travail ou vol),camion,en approche,10 m,30 km/h,véhicule prioritaire
65633,ensoleillé,nuit,sec,35 km/h,10 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,50 m,50 km/h,véhicule prioritaire
65647,ensoleillé,nuit,sec,35 km/h,10 m,voiture,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,80 km/h,voiture
65855,ensoleillé,nuit,sec,35 km/h,10 m,camion,50 m,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,aucun
65915,ensoleillé,nuit,sec,35 km/h,10 m,camion,50 m,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,aucun
65990,ensoleillé,nuit,sec,35 km/h,10 m,camion,50 m,pressé (travail ou vol),camion,en approche,100 m,50 km/h,aucun
66044,ensoleillé,nuit,sec,35 km/h,10 m,camion,50 m,aucune,véhicule prioritaire,en approche,100 m,50 km/h,aucun
66110,ensoleillé,nuit,sec,35 km/h,10 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,50 m,50 km/h,voiture
66211,ensoleillé,nuit,sec,35 km/h,10 m,véhicule prioritaire,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,aucun
66423,ensoleillé,nuit,sec,35 km/h,50 m,voiture,50 m,pressé (travail ou vol),voiture,en approche,100 m,30 km/h,aucun
66508,ensoleillé,nuit,sec,35 km/h,50 m,voiture,50 m,aucune,voiture,en approche,10 m,80 km/h,aucun
66881,ensoleillé,nuit,sec,35 km/h,50 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,aucun
67162,ensoleillé,nuit,sec,35 km/h,100 m,voiture,50 m,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,voiture
67328,ensoleillé,nuit,sec,35 km/h,100 m,camion,50 m,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,voiture
67349,ensoleillé,nuit,sec,35 km/h,100 m,camion,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,50 km/h,voiture
67474,ensoleillé,nuit,sec,35 km/h,100 m,camion,50 m,aucune,voiture,en approche,100 m,80 km/h,aucun
67596,ensoleillé,nuit,sec,35 km/h,100 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,voiture
67717,ensoleillé,nuit,sec,35 km/h,100 m,véhicule prioritaire,50 m,aucune,voiture,en approche,100 m,80 km/h,aucun
67808,ensoleillé,nuit,sec,60 km/h,50 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,voiture
67827,ensoleillé,nuit,sec,60 km/h,50 m,voiture,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,30 km/h,aucun
68024,ensoleillé,nuit,sec,60 km/h,50 m,voiture,50 m,aucune,camion,en approche,100 m,50 km/h,voiture
68395,ensoleillé,nuit,sec,60 km/h,50 m,véhicule prioritaire,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,aucun
69064,ensoleillé,nuit,sec,60 km/h,100 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,80 km/h,véhicule prioritaire
69243,ensoleillé,nuit,sec,60 km/h,100 m,véhicule prioritaire,50 m,aucune,camion,en approche,50 m,30 km/h,voiture
69276,ensoleillé,nuit,sec,60 km/h,150 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
69559,ensoleillé,nuit,sec,60 km/h,150 m,camion,50 m,urgence (vers l'hôpital),camion,en approche,10 m,80 km/h,aucun
69595,ensoleillé,nuit,sec,60 km/h,150 m,camion,50 m,pressé (travail ou vol),voiture,en approche,10 m,80 km/h,voiture
70264,ensoleillé,nuit,sec,100 km/h,100 m,camion,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,80 km/h,voiture
70402,ensoleillé,nuit,sec,100 km/h,100 m,camion,50 m,aucune,voiture,en approche,50 m,80 km/h,voiture
70407,ensoleillé,nuit,sec,100 km/h,100 m,camion,50 m,aucune,voiture,en approche,10 m,30 km/h,voiture
70437,ensoleillé,nuit,sec,100 km/h,100 m,camion,50 m,aucune,véhicule prioritaire,en approche,100 m,30 km/h,véhicule prioritaire
70627,ensoleillé,nuit,sec,100 km/h,100 m,véhicule prioritaire,50 m,pressé (travail ou vol),camion,en approche,50 m,80 km/h,véhicule prioritaire
70642,ensoleillé,nuit,sec,100 km/h,100 m,véhicule prioritaire,50 m,aucune,voiture,en approche,100 m,80 km/h,voiture
70778,ensoleillé,nuit,sec,100 km/h,150 m,voiture,50 m,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,voiture
70883,ensoleillé,nuit,sec,100 km/h,150 m,voiture,50 m,aucune,voiture,en approche,10 m,50 km/h,aucun
71206,ensoleillé,nuit,sec,100 km/h,150 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,aucun
71573,ensoleillé,nuit,sec,100 km/h,200 m,voiture,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,50 km/h,véhicule prioritaire
71604,ensoleillé,nuit,sec,100 km/h,200 m,voiture,50 m,pressé (travail ou vol),camion,en approche,10 m,30 km/h,véhicule prioritaire
71970,ensoleillé,nuit,sec,100 km/h,200 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,voiture
72030,ensoleillé,nuit,sec,100 km/h,200 m,véhicule prioritaire,50 m,pressé (travail ou vol),voiture,en approche,100 m,30 km/h,véhicule prioritaire
72172,ensoleillé,nuit,sec,35 km/h,10 m,voiture,20 m,urgence (vers l'hôpital),voiture,en approche,100 m,80 km/h,aucun
72409,ensoleillé,nuit,sec,35 km/h,10 m,voiture,20 m,aucune,camion,en approche,50 m,80 km/h,véhicule prioritaire
72431,ensoleillé,nuit,sec,35 km/h,10 m,camion,20 m,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,voiture
72870,ensoleillé,nuit,sec,35 km/h,10 m,véhicule prioritaire,20 m,aucune,véhicule prioritaire,en approche,50 m,30 km/h,véhicule prioritaire
72959,ensoleillé,nuit,sec,35 km/h,50 m,voiture,20 m,urgence (vers l'hôpital),camion,en approche,50 m,50 km/h,aucun
73116,ensoleillé,nuit,sec,35 km/h,50 m,voiture,20 m,aucune,véhicule prioritaire,en approche,10 m,30 km/h,véhicule prioritaire
73477,ensoleillé,nuit,sec,35 km/h,50 m,véhicule prioritaire,20 m,pressé (travail ou vol),voiture,en approche,100 m,80 km/h,voiture
73585,ensoleillé,nuit,sec,35 km/h,50 m,véhicule prioritaire,20 m,aucune,véhicule prioritaire,en approche,100 m,80 km/h,voiture
73971,ensoleillé,nuit,sec,35 km/h,100 m,camion,20 m,pressé (travail ou vol),voiture,en approche,10 m,30 km/h,voiture
73983,ensoleillé,nuit,sec,35 km/h,100 m,camion,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,30 km/h,aucun
74225,ensoleillé,nuit,sec,35 km/h,100 m,véhicule prioritaire,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,50 km/h,aucun
74280,ensoleillé,nuit,sec,35 km/h,100 m,véhicule prioritaire,20 m,aucune,voiture,en approche,100 m,30 km/h,aucun
74426,ensoleillé,nuit,sec,60 km/h,50 m,voiture,20 m,urgence (vers l'hôpital),camion,en approche,50 m,50 km/h,voiture
74811,ensoleillé,nuit,sec,60 km/h,50 m,camion,20 m,aucune,véhicule prioritaire,en approche,100 m,30 km/h,véhicule prioritaire
74883,ensoleillé,nuit,sec,60 km/h,50 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,30 km/h,voiture
75005,ensoleillé,nuit,sec,60 km/h,50 m,véhicule prioritaire,20 m,pressé (travail ou vol),camion,en approche,10 m,50 km/h,véhicule prioritaire
75200,ensoleillé,nuit,sec,60 km/h,100 m,voiture,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,50 km/h,aucun
75338,ensoleillé,nuit,sec,60 km/h,100 m,camion,20 m,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,aucun
75462,ensoleillé,nuit,sec,60 km/h,100 m,camion,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,30 km/h,véhicule prioritaire
75468,ensoleillé,nuit,sec,60 km/h,100 m,camion,20 m,pressé (travail ou vol),camion,en approche,100 m,30 km/h,aucun
75526,ensoleillé,nuit,sec,60 km/h,100 m,camion,20 m,aucune,véhicule prioritaire,en approche,10 m,80 km/h,aucun
75557,ensoleillé,nuit,sec,60 km/h,100 m,camion,20 m,aucune,camion,en approche,100 m,50 km/h,voiture
75944,ensoleillé,nuit,sec,60 km/h,150 m,voiture,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,50 km/h,véhicule prioritaire
76080,ensoleillé,nuit,sec,60 km/h,150 m,camion,20 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
76139,ensoleillé,nuit,sec,60 km/h,150 m,camion,20 m,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,véhicule prioritaire
76201,ensoleillé,nuit,sec,60 km/h,150 m,camion,20 m,pressé (travail ou vol),camion,en approche,10 m,80 km/h,aucun
