id,天气,时间,路况,并车车速,并车与本车距,并车车辆类型,主车道前方空隙,乘客需求,本车角色,本车状态,本车距合流点距离,本车速度,后车类型
54230,晴天,夜晚,干燥,35公里/小时,100米,卡车,畅通,紧急（送医）,应急车辆,接近中,50米,50公里/小时,普通轿车
54321,晴天,夜晚,干燥,35公里/小时,100米,卡车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,30公里/小时,应急车辆
54418,晴天,夜晚,干燥,35公里/小时,100米,卡车,畅通,无特殊需求,卡车,接近中,50米,80公里/小时,普通轿车
54469,晴天,夜晚,干燥,35公里/小时,100米,应急车辆,畅通,紧急（送医）,应急车辆,接近中,100米,80公里/小时,普通轿车
54579,晴天,夜晚,干燥,35公里/小时,100米,应急车辆,畅通,赶时间（通勤/赶飞机）,卡车,接近中,100米,30公里/小时,普通轿车
54633,晴天,夜晚,干燥,35公里/小时,100米,应急车辆,畅通,无特殊需求,应急车辆,接近中,100米,30公里/小时,普通轿车
55182,晴天,夜晚,干燥,60公里/小时,50米,应急车辆,畅通,紧急（送医）,普通轿车,接近中,100米,30公里/小时,应急车辆
55225,晴天,夜晚,干燥,60公里/小时,50米,应急车辆,畅通,紧急（送医）,卡车,接近中,100米,80公里/小时,普通轿车
55498,晴天,夜晚,干燥,60公里/小时,100米,普通轿车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,80公里/小时,普通轿车
55508,晴天,夜晚,干燥,60公里/小时,100米,普通轿车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,50公里/小时,应急车辆
55686,晴天,夜晚,干燥,60公里/小时,100米,卡车,畅通,紧急（送医）,应急车辆,接近中,100米,30公里/小时,普通轿车
55729,晴天,夜晚,干燥,60公里/小时,100米,卡车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,80公里/小时,无
56166,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,畅通,紧急（送医）,应急车辆,接近中,50米,30公里/小时,无
56195,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,畅通,紧急（送医）,卡车,接近中,10米,50公里/小时,无
56254,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,80公里/小时,普通轿车
56259,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,30公里/小时,普通轿车
56268,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,30公里/小时,应急车辆
56288,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,畅通,赶时间（通勤/赶飞机）,卡车,接近中,100米,50公里/小时,应急车辆
56368,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,畅通,无特殊需求,卡车,接近中,100米,80公里/小时,应急车辆
56488,晴天,夜晚,干燥,60公里/小时,150米,卡车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,80公里/小时,无
57070,晴天,夜晚,干燥,100公里/小时,100米,普通轿车,畅通,无特殊需求,应急车辆,接近中,100米,80公里/小时,应急车辆
57094,晴天,夜晚,干燥,100公里/小时,100米,普通轿车,畅通,无特殊需求,卡车,接近中,10米,80公里/小时,普通轿车
57322,晴天,夜晚,干燥,100公里/小时,100米,卡车,畅通,无特殊需求,卡车,接近中,100米,80公里/小时,无
57681,晴天,夜晚,干燥,100公里/小时,150米,普通轿车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,30公里/小时,无
57810,晴天,夜晚,干燥,100公里/小时,150米,普通轿车,畅通,无特殊需求,卡车,接近中,100米,30公里/小时,无
57871,晴天,夜晚,干燥,100公里/小时,150米,卡车,畅通,紧急（送医）,应急车辆,接近中,100米,80公里/小时,普通轿车
58024,晴天,夜晚,干燥,100公里/小时,150米,卡车,畅通,无特殊需求,应急车辆,接近中,100米,80公里/小时,无
58178,晴天,夜晚,干燥,100公里/小时,150米,应急车辆,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,50公里/小时,应急车辆
58407,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,30公里/小时,无
58507,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,畅通,无特殊需求,普通轿车,接近中,10米,80公里/小时,应急车辆
58526,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,畅通,无特殊需求,应急车辆,接近中,10米,50公里/小时,普通轿车
58548,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,畅通,无特殊需求,卡车,接近中,100米,30公里/小时,普通轿车
58611,晴天,夜晚,干燥,100公里/小时,200米,卡车,畅通,紧急（送医）,应急车辆,接近中,100米,30公里/小时,应急车辆
58687,晴天,夜晚,干燥,100公里/小时,200米,卡车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,普通轿车
58920,晴天,夜晚,干燥,100公里/小时,200米,应急车辆,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,30公里/小时,无
59008,晴天,夜晚,干燥,100公里/小时,200米,应急车辆,畅通,无特殊需求,应急车辆,接近中,50米,80公里/小时,普通轿车
59126,晴天,夜晚,干燥,35公里/小时,10米,普通轿车,100米,紧急（送医）,卡车,接近中,50米,50公里/小时,应急车辆
59191,晴天,夜晚,干燥,35公里/小时,10米,普通轿车,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,80公里/小时,无
59350,晴天,夜晚,干燥,35公里/小时,10米,卡车,100米,紧急（送医）,卡车,接近中,50米,80公里/小时,无
59407,晴天,夜晚,干燥,35公里/小时,10米,卡车,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,无
59525,晴天,夜晚,干燥,35公里/小时,10米,卡车,100米,无特殊需求,卡车,接近中,10米,50公里/小时,普通轿车
59550,晴天,夜晚,干燥,35公里/小时,10米,应急车辆,100米,紧急（送医）,普通轿车,接近中,50米,30公里/小时,普通轿车
59670,晴天,夜晚,干燥,35公里/小时,10米,应急车辆,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,30公里/小时,应急车辆
59729,晴天,夜晚,干燥,35公里/小时,10米,应急车辆,100米,无特殊需求,应急车辆,接近中,50米,50公里/小时,无
59760,晴天,夜晚,干燥,35公里/小时,10米,应急车辆,100米,无特殊需求,卡车,接近中,10米,30公里/小时,无
59894,晴天,夜晚,干燥,35公里/小时,50米,普通轿车,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,50公里/小时,无
59961,晴天,夜晚,干燥,35公里/小时,50米,普通轿车,100米,无特殊需求,普通轿车,接近中,100米,30公里/小时,应急车辆
59986,晴天,夜晚,干燥,35公里/小时,50米,普通轿车,100米,无特殊需求,应急车辆,接近中,100米,80公里/小时,应急车辆
60181,晴天,夜晚,干燥,35公里/小时,50米,卡车,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,80公里/小时,应急车辆
60285,晴天,夜晚,干燥,35公里/小时,50米,应急车辆,100米,紧急（送医）,普通轿车,接近中,100米,30公里/小时,应急车辆
60312,晴天,夜晚,干燥,35公里/小时,50米,应急车辆,100米,紧急（送医）,应急车辆,接近中,100米,30公里/小时,应急车辆
60435,晴天,夜晚,干燥,35公里/小时,50米,应急车辆,100米,无特殊需求,普通轿车,接近中,10米,30公里/小时,无
60450,晴天,夜晚,干燥,35公里/小时,50米,应急车辆,100米,无特殊需求,普通轿车,接近中,50米,30公里/小时,应急车辆
60649,晴天,夜晚,干燥,35公里/小时,100米,普通轿车,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,80公里/小时,无
60678,晴天,夜晚,干燥,35公里/小时,100米,普通轿车,100米,无特殊需求,普通轿车,接近中,10米,30公里/小时,无
60680,晴天,夜晚,干燥,35公里/小时,100米,普通轿车,100米,无特殊需求,普通轿车,接近中,100米,50公里/小时,普通轿车
60961,晴天,夜晚,干燥,35公里/小时,100米,卡车,100米,无特殊需求,应急车辆,接近中,50米,80公里/小时,应急车辆
61222,晴天,夜晚,干燥,35公里/小时,100米,应急车辆,100米,无特殊需求,卡车,接近中,50米,80公里/小时,普通轿车
61232,晴天,夜晚,干燥,35公里/小时,100米,应急车辆,100米,无特殊需求,卡车,接近中,50米,50公里/小时,应急车辆
61326,晴天,夜晚,干燥,60公里/小时,50米,普通轿车,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,30公里/小时,无
61393,晴天,夜晚,干燥,60公里/小时,50米,普通轿车,100米,赶时间（通勤/赶飞机）,卡车,接近中,50米,80公里/小时,应急车辆
61594,晴天,夜晚,干燥,60公里/小时,50米,卡车,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,无
61820,晴天,夜晚,干燥,60公里/小时,50米,应急车辆,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,50公里/小时,普通轿车
61890,晴天,夜晚,干燥,60公里/小时,50米,应急车辆,100米,无特殊需求,普通轿车,接近中,50米,30公里/小时,无
62021,晴天,夜晚,干燥,60公里/小时,100米,普通轿车,100米,紧急（送医）,卡车,接近中,100米,50公里/小时,无
62030,晴天,夜晚,干燥,60公里/小时,100米,普通轿车,100米,紧急（送医）,卡车,接近中,100米,50公里/小时,普通轿车
62039,晴天,夜晚,干燥,60公里/小时,100米,普通轿车,100米,紧急（送医）,卡车,接近中,100米,50公里/小时,应急车辆
62058,晴天,夜晚,干燥,60公里/小时,100米,普通轿车,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,30公里/小时,普通轿车
62066,晴天,夜晚,干燥,60公里/小时,100米,普通轿车,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,50公里/小时,应急车辆
62126,晴天,夜晚,干燥,60公里/小时,100米,普通轿车,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,50公里/小时,应急车辆
62351,晴天,夜晚,干燥,60公里/小时,100米,卡车,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,50公里/小时,无
62461,晴天,夜晚,干燥,60公里/小时,100米,应急车辆,100米,紧急（送医）,普通轿车,接近中,100米,80公里/小时,普通轿车
62491,晴天,夜晚,干燥,60公里/小时,100米,应急车辆,100米,紧急（送医）,应急车辆,接近中,50米,80公里/小时,普通轿车
62863,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,100米,无特殊需求,普通轿车,接近中,10米,80公里/小时,无
62873,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,100米,无特殊需求,普通轿车,接近中,10米,50公里/小时,普通轿车
62921,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,100米,无特殊需求,卡车,接近中,100米,50公里/小时,普通轿车
63031,晴天,夜晚,干燥,60公里/小时,150米,卡车,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,80公里/小时,普通轿车
63067,晴天,夜晚,干燥,60公里/小时,150米,卡车,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,80公里/小时,应急车辆
63098,晴天,夜晚,干燥,60公里/小时,150米,卡车,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,50公里/小时,应急车辆
63117,晴天,夜晚,干燥,60公里/小时,150米,卡车,100米,无特殊需求,普通轿车,接近中,10米,30公里/小时,普通轿车
63153,晴天,夜晚,干燥,60公里/小时,150米,卡车,100米,无特殊需求,应急车辆,接近中,10米,30公里/小时,应急车辆
63192,晴天,夜晚,干燥,60公里/小时,150米,应急车辆,100米,紧急（送医）,普通轿车,接近中,100米,30公里/小时,普通轿车
63220,晴天,夜晚,干燥,60公里/小时,150米,应急车辆,100米,紧急（送医）,应急车辆,接近中,50米,80公里/小时,普通轿车
63602,晴天,夜晚,干燥,100公里/小时,100米,普通轿车,100米,无特殊需求,普通轿车,接近中,10米,50公里/小时,普通轿车
63776,晴天,夜晚,干燥,100公里/小时,100米,卡车,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,50公里/小时,无
63843,晴天,夜晚,干燥,100公里/小时,100米,卡车,100米,无特殊需求,普通轿车,接近中,50米,30公里/小时,普通轿车
64185,晴天,夜晚,干燥,100公里/小时,150米,普通轿车,100米,紧急（送医）,应急车辆,接近中,50米,30公里/小时,无
64245,晴天,夜晚,干燥,100公里/小时,150米,普通轿车,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,30公里/小时,普通轿车
64552,晴天,夜晚,干燥,100公里/小时,150米,卡车,100米,赶时间（通勤/赶飞机）,卡车,接近中,50米,80公里/小时,应急车辆
64719,晴天,夜晚,干燥,100公里/小时,150米,应急车辆,100米,紧急（送医）,卡车,接近中,10米,30公里/小时,应急车辆
64769,晴天,夜晚,干燥,100公里/小时,150米,应急车辆,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,50公里/小时,应急车辆
64936,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,100米,紧急（送医）,卡车,接近中,100米,80公里/小时,无
65081,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,100米,无特殊需求,应急车辆,接近中,100米,50公里/小时,普通轿车
65115,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,100米,无特殊需求,卡车,接近中,10米,30公里/小时,普通轿车
65221,晴天,夜晚,干燥,100公里/小时,200米,卡车,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,80公里/小时,普通轿车
65529,晴天,夜晚,干燥,100公里/小时,200米,应急车辆,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,30公里/小时,应急车辆
65633,晴天,夜晚,干燥,35公里/小时,10米,普通轿车,50米,紧急（送医）,普通轿车,接近中,50米,50公里/小时,应急车辆
65647,晴天,夜晚,干燥,35公里/小时,10米,普通轿车,50米,紧急（送医）,应急车辆,接近中,100米,80公里/小时,普通轿车
65855,晴天,夜晚,干燥,35公里/小时,10米,卡车,50米,紧急（送医）,普通轿车,接近中,100米,50公里/小时,无
65915,晴天,夜晚,干燥,35公里/小时,10米,卡车,50米,紧急（送医）,卡车,接近中,10米,50公里/小时,无
65990,晴天,夜晚,干燥,35公里/小时,10米,卡车,50米,赶时间（通勤/赶飞机）,卡车,接近中,100米,50公里/小时,无
66044,晴天,夜晚,干燥,35公里/小时,10米,卡车,50米,无特殊需求,应急车辆,接近中,100米,50公里/小时,无
66110,晴天,夜晚,干燥,35公里/小时,10米,应急车辆,50米,紧急（送医）,普通轿车,接近中,50米,50公里/小时,普通轿车
66211,晴天,夜晚,干燥,35公里/小时,10米,应急车辆,50米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,无
66423,晴天,夜晚,干燥,35公里/小时,50米,普通轿车,50米,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,30公里/小时,无
66508,晴天,夜晚,干燥,35公里/小时,50米,普通轿车,50米,无特殊需求,普通轿车,接近中,10米,80公里/小时,无
66881,晴天,夜晚,干燥,35公里/小时,50米,应急车辆,50米,紧急（送医）,卡车,接近中,100米,50公里/小时,无
67162,晴天,夜晚,干燥,35公里/小时,100米,普通轿车,50米,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,80公里/小时,普通轿车
67328,晴天,夜晚,干燥,35公里/小时,100米,卡车,50米,紧急（送医）,普通轿车,接近中,10米,50公里/小时,普通轿车
67349,晴天,夜晚,干燥,35公里/小时,100米,卡车,50米,紧急（送医）,应急车辆,接近中,100米,50公里/小时,普通轿车
67474,晴天,夜晚,干燥,35公里/小时,100米,卡车,50米,无特殊需求,普通轿车,接近中,100米,80公里/小时,无
67596,晴天,夜晚,干燥,35公里/小时,100米,应急车辆,50米,紧急（送医）,应急车辆,接近中,50米,30公里/小时,普通轿车
67717,晴天,夜晚,干燥,35公里/小时,100米,应急车辆,50米,无特殊需求,普通轿车,接近中,100米,80公里/小时,无
67808,晴天,夜晚,干燥,60公里/小时,50米,普通轿车,50米,紧急（送医）,普通轿车,接近中,100米,50公里/小时,普通轿车
67827,晴天,夜晚,干燥,60公里/小时,50米,普通轿车,50米,紧急（送医）,应急车辆,接近中,100米,30公里/小时,无
68024,晴天,夜晚,干燥,60公里/小时,50米,普通轿车,50米,无特殊需求,卡车,接近中,100米,50公里/小时,普通轿车
68395,晴天,夜晚,干燥,60公里/小时,50米,应急车辆,50米,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,80公里/小时,无
69064,晴天,夜晚,干燥,60公里/小时,100米,应急车辆,50米,紧急（送医）,应急车辆,接近中,10米,80公里/小时,应急车辆
69243,晴天,夜晚,干燥,60公里/小时,100米,应急车辆,50米,无特殊需求,卡车,接近中,50米,30公里/小时,普通轿车
69276,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,50米,紧急（送医）,普通轿车,接近中,100米,30公里/小时,应急车辆
69559,晴天,夜晚,干燥,60公里/小时,150米,卡车,50米,紧急（送医）,卡车,接近中,10米,80公里/小时,无
69595,晴天,夜晚,干燥,60公里/小时,150米,卡车,50米,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,80公里/小时,普通轿车
70264,晴天,夜晚,干燥,100公里/小时,100米,卡车,50米,紧急（送医）,应急车辆,接近中,100米,80公里/小时,普通轿车
70402,晴天,夜晚,干燥,100公里/小时,100米,卡车,50米,无特殊需求,普通轿车,接近中,50米,80公里/小时,普通轿车
70407,晴天,夜晚,干燥,100公里/小时,100米,卡车,50米,无特殊需求,普通轿车,接近中,10米,30公里/小时,普通轿车
70437,晴天,夜晚,干燥,100公里/小时,100米,卡车,50米,无特殊需求,应急车辆,接近中,100米,30公里/小时,应急车辆
70627,晴天,夜晚,干燥,100公里/小时,100米,应急车辆,50米,赶时间（通勤/赶飞机）,卡车,接近中,50米,80公里/小时,应急车辆
70642,晴天,夜晚,干燥,100公里/小时,100米,应急车辆,50米,无特殊需求,普通轿车,接近中,100米,80公里/小时,普通轿车
70778,晴天,夜晚,干燥,100公里/小时,150米,普通轿车,50米,紧急（送医）,卡车,接近中,100米,50公里/小时,普通轿车
70883,晴天,夜晚,干燥,100公里/小时,150米,普通轿车,50米,无特殊需求,普通轿车,接近中,10米,50公里/小时,无
71206,晴天,夜晚,干燥,100公里/小时,150米,应急车辆,50米,紧急（送医）,普通轿车,接近中,10米,80公里/小时,无
71573,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,50米,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,50公里/小时,应急车辆
71604,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,50米,赶时间（通勤/赶飞机）,卡车,接近中,10米,30公里/小时,应急车辆
71970,晴天,夜晚,干燥,100公里/小时,200米,应急车辆,50米,紧急（送医）,应急车辆,接近中,50米,30公里/小时,普通轿车
72030,晴天,夜晚,干燥,100公里/小时,200米,应急车辆,50米,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,30公里/小时,应急车辆
72172,晴天,夜晚,干燥,35公里/小时,10米,普通轿车,20米,紧急（送医）,普通轿车,接近中,100米,80公里/小时,无
72409,晴天,夜晚,干燥,35公里/小时,10米,普通轿车,20米,无特殊需求,卡车,接近中,50米,80公里/小时,应急车辆
72431,晴天,夜晚,干燥,35公里/小时,10米,卡车,20米,紧急（送医）,普通轿车,接近中,10米,50公里/小时,普通轿车
72870,晴天,夜晚,干燥,35公里/小时,10米,应急车辆,20米,无特殊需求,应急车辆,接近中,50米,30公里/小时,应急车辆
72959,晴天,夜晚,干燥,35公里/小时,50米,普通轿车,20米,紧急（送医）,卡车,接近中,50米,50公里/小时,无
73116,晴天,夜晚,干燥,35公里/小时,50米,普通轿车,20米,无特殊需求,应急车辆,接近中,10米,30公里/小时,应急车辆
73477,晴天,夜晚,干燥,35公里/小时,50米,应急车辆,20米,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,80公里/小时,普通轿车
73585,晴天,夜晚,干燥,35公里/小时,50米,应急车辆,20米,无特殊需求,应急车辆,接近中,100米,80公里/小时,普通轿车
73971,晴天,夜晚,干燥,35公里/小时,100米,卡车,20米,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,30公里/小时,普通轿车
73983,晴天,夜晚,干燥,35公里/小时,100米,卡车,20米,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,30公里/小时,无
74225,晴天,夜晚,干燥,35公里/小时,100米,应急车辆,20米,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,50公里/小时,无
74280,晴天,夜晚,干燥,35公里/小时,100米,应急车辆,20米,无特殊需求,普通轿车,接近中,100米,30公里/小时,无
74426,晴天,夜晚,干燥,60公里/小时,50米,普通轿车,20米,紧急（送医）,卡车,接近中,50米,50公里/小时,普通轿车
74811,晴天,夜晚,干燥,60公里/小时,50米,卡车,20米,无特殊需求,应急车辆,接近中,100米,30公里/小时,应急车辆
74883,晴天,夜晚,干燥,60公里/小时,50米,应急车辆,20米,紧急（送医）,应急车辆,接近中,100米,30公里/小时,普通轿车
75005,晴天,夜晚,干燥,60公里/小时,50米,应急车辆,20米,赶时间（通勤/赶飞机）,卡车,接近中,10米,50公里/小时,应急车辆
75200,晴天,夜晚,干燥,60公里/小时,100米,普通轿车,20米,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,50公里/小时,无
75338,晴天,夜晚,干燥,60公里/小时,100米,卡车,20米,紧急（送医）,普通轿车,接近中,10米,50公里/小时,无
75462,晴天,夜晚,干燥,60公里/小时,100米,卡车,20米,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,30公里/小时,应急车辆
75468,晴天,夜晚,干燥,60公里/小时,100米,卡车,20米,赶时间（通勤/赶飞机）,卡车,接近中,100米,30公里/小时,无
75526,晴天,夜晚,干燥,60公里/小时,100米,卡车,20米,无特殊需求,应急车辆,接近中,10米,80公里/小时,无
75557,晴天,夜晚,干燥,60公里/小时,100米,卡车,20米,无特殊需求,卡车,接近中,100米,50公里/小时,普通轿车
75944,晴天,夜晚,干燥,60公里/小时,150米,普通轿车,20米,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,50公里/小时,应急车辆
76080,晴天,夜晚,干燥,60公里/小时,150米,卡车,20米,紧急（送医）,普通轿车,接近中,100米,30公里/小时,应急车辆
76139,晴天,夜晚,干燥,60公里/小时,150米,卡车,20米,紧急（送医）,卡车,接近中,10米,50公里/小时,应急车辆
76201,晴天,夜晚,干燥,60公里/小时,150米,卡车,20米,赶时间（通勤/赶飞机）,卡车,接近中,10米,80公里/小时,无
76283,晴天,夜晚,干燥,60公里/小时,150米,卡车,20米,无特殊需求,卡车,接近中,10米,50公里/小时,无
76598,晴天,夜晚,干燥,100公里/小时,100米,普通轿车,20米,紧急（送医）,应急车辆,接近中,10米,50公里/小时,应急车辆
76833,晴天,夜晚,干燥,100公里/小时,100米,卡车,20米,紧急（送医）,应急车辆,接近中,10米,30公里/小时,普通轿车
76953,晴天,夜晚,干燥,100公里/小时,100米,卡车,20米,无特殊需求,普通轿车,接近中,100米,30公里/小时,无
77003,晴天,夜晚,干燥,100公里/小时,100米,卡车,20米,无特殊需求,应急车辆,接近中,10米,50公里/小时,应急车辆
77216,晴天,夜晚,干燥,100公里/小时,100米,应急车辆,20米,无特殊需求,普通轿车,接近中,50米,50公里/小时,应急车辆
77270,晴天,夜晚,干燥,100公里/小时,100米,应急车辆,20米,无特殊需求,卡车,接近中,50米,50公里/小时,应急车辆
77502,晴天,夜晚,干燥,100公里/小时,150米,普通轿车,20米,无特殊需求,卡车,接近中,100米,30公里/小时,普通轿车
77692,晴天,夜晚,干燥,100公里/小时,150米,卡车,20米,无特殊需求,普通轿车,接近中,50米,80公里/小时,普通轿车
77753,晴天,夜晚,干燥,100公里/小时,150米,卡车,20米,无特殊需求,卡车,接近中,100米,50公里/小时,应急车辆
78160,晴天,夜晚,干燥,100公里/小时,200米,普通轿车,20米,赶时间（通勤/赶飞机）,卡车,接近中,50米,80公里/小时,应急车辆
78356,晴天,夜晚,干燥,100公里/小时,200米,卡车,20米,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,50公里/小时,无
78436,晴天,夜晚,干燥,100公里/小时,200米,卡车,20米,无特殊需求,应急车辆,接近中,100米,80公里/小时,无
78502,晴天,夜晚,干燥,100公里/小时,200米,应急车辆,20米,紧急（送医）,普通轿车,接近中,50米,80公里/小时,普通轿车
78771,晴天,夜晚,湿滑,35公里/小时,10米,普通轿车,畅通,紧急（送医）,应急车辆,接近中,100米,30公里/小时,普通轿车
78824,晴天,夜晚,湿滑,35公里/小时,10米,普通轿车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,50公里/小时,普通轿车
79094,晴天,夜晚,湿滑,35公里/小时,10米,卡车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,50公里/小时,普通轿车
79112,晴天,夜晚,湿滑,35公里/小时,10米,卡车,畅通,赶时间（通勤/赶飞机）,卡车,接近中,100米,50公里/小时,无
79168,晴天,夜晚,湿滑,35公里/小时,10米,卡车,畅通,无特殊需求,应急车辆,接近中,50米,80公里/小时,无
79183,晴天,夜晚,湿滑,35公里/小时,10米,卡车,畅通,无特殊需求,应急车辆,接近中,100米,80公里/小时,应急车辆
79305,晴天,夜晚,湿滑,35公里/小时,10米,应急车辆,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,30公里/小时,无
79346,晴天,夜晚,湿滑,35公里/小时,10米,应急车辆,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,50公里/小时,应急车辆
79349,晴天,夜晚,湿滑,35公里/小时,10米,应急车辆,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,50公里/小时,应急车辆
79557,晴天,夜晚,湿滑,35公里/小时,50米,普通轿车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,30公里/小时,普通轿车
79744,晴天,夜晚,湿滑,35公里/小时,50米,卡车,畅通,紧急（送医）,应急车辆,接近中,50米,80公里/小时,普通轿车
79799,晴天,夜晚,湿滑,35公里/小时,50米,卡车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,50公里/小时,普通轿车
80071,晴天,夜晚,湿滑,35公里/小时,50米,应急车辆,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,普通轿车
80505,晴天,夜晚,湿滑,35公里/小时,100米,卡车,畅通,紧急（送医）,卡车,接近中,10米,30公里/小时,普通轿车
80541,晴天,夜晚,湿滑,35公里/小时,100米,卡车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,30公里/小时,应急车辆
80614,晴天,夜晚,湿滑,35公里/小时,100米,卡车,畅通,无特殊需求,普通轿车,接近中,100米,80公里/小时,应急车辆
80684,晴天,夜晚,湿滑,35公里/小时,100米,应急车辆,畅通,紧急（送医）,普通轿车,接近中,10米,50公里/小时,无
80780,晴天,夜晚,湿滑,35公里/小时,100米,应急车辆,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,50公里/小时,应急车辆
80924,晴天,夜晚,湿滑,60公里/小时,50米,普通轿车,畅通,紧急（送医）,普通轿车,接近中,50米,50公里/小时,无
80938,晴天,夜晚,湿滑,60公里/小时,50米,普通轿车,畅通,紧急（送医）,普通轿车,接近中,100米,80公里/小时,应急车辆
81058,晴天,夜晚,湿滑,60公里/小时,50米,普通轿车,畅通,赶时间（通勤/赶飞机）,卡车,接近中,50米,80公里/小时,无
81523,晴天,夜晚,湿滑,60公里/小时,50米,应急车辆,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,80公里/小时,普通轿车
81539,晴天,夜晚,湿滑,60公里/小时,50米,应急车辆,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,50公里/小时,应急车辆
81632,晴天,夜晚,湿滑,60公里/小时,50米,应急车辆,畅通,无特殊需求,卡车,接近中,100米,50公里/小时,普通轿车
81820,晴天,夜晚,湿滑,60公里/小时,100米,普通轿车,畅通,无特殊需求,普通轿车,接近中,100米,80公里/小时,普通轿车
